concept,name,concept_type,description,indicator_url,unit,interpolation,drill_up,domain,scales
congenital_deaths_in_newborn_total_deaths,"Congenital deaths in newborn, total",measure,Congenital deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tUvFsKz2lGL-GtPmw47VLdg,,,,,"['log', 'linear']"
diarrhoeal_deaths_in_newborn_total_deaths,"Diarrhoeal deaths in newborn, total",measure,Diarrhoeal deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tKZcnGP_XImMXRZ4tZqtjMg,,,,,"['log', 'linear']"
pneumonia_deaths_in_newborn_total_deaths,"Pneumonia deaths in newborn, total",measure,Pneumonia deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tjvbVGhVx7YCk1uguLrkaag,,,,,"['log', 'linear']"
prematurity_deaths_in_newborn_total_deaths,"Prematurity deaths in newborn, total",measure,Prematurity deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tVyFL3CyRTuGEnRQErDeSLQ,,,,,"['log', 'linear']"
sepsis_deaths_in_newborn_total_deaths,"Sepsis deaths in newborn, total",measure,Sepsis deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tRA1VmW2ZQ7sCsoD7AHIilg,,,,,"['log', 'linear']"
tetanus_deaths_in_newborn_total_deaths,"Tetanus deaths in newborn, total",measure,Tetanus deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tB6Gkh4rLC9yB2TXfHSApIA,,,,,"['log', 'linear']"
other_deaths_in_newborn_total_deaths,"Other deaths in newborn, total",measure,Other deaths in newborn (total deaths),http://spreadsheets.google.com/pub?key=tyPO4OLCIZtK5zcdkafcHMA,,,,,"['log', 'linear']"
all_causes_deaths_in_children_1_59_months_per_1000_births,All causes deaths in children,measure,"All causes deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=t9FP3_OPrE2ug_I_iNsbePg,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
diarrhoeal_deaths_in_children_1_59_months_per_1000_births,Diarrhoeal deaths in children,measure,"Diarrhoeal deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tADSStUzP0ADEPYqsIfVHMQ,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
hiv_deaths_in_children_1_59_months_per_1000_births,HIV deaths in children,measure,"HIV deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=t4C4M_ynK9Ho8tGRj6a5U5w,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
injury_deaths_in_children_1_59_months_per_1000_births,Injury deaths in children,measure,"Injury deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tfOi0Ji7pJDJbxJVqwJXj9g,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
malaria_deaths_in_children_1_59_months_per_1000_births,Malaria deaths in children,measure,"Malaria deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tunqKEwokfnJMDA1g7W8KwA,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
measles_deaths_in_children_1_59_months_per_1000_births,Measles deaths in children,measure,"Measles deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tfyKUbGu10P_WOgHSOHhCJg,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
meningitis_deaths_in_children_1_59_months_per_1000_births,Meningitis deaths in children,measure,"Meningitis deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tZhYsw0sliDInwowT0iWTLQ,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
ncd_deaths_in_children_1_59_months_per_1000_births,NCD deaths in children,measure,"NCD deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tqAEpy6pMtN7ULlF6uIzEog,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
pertussis_deaths_in_children_1_59_months_per_1000_births,Pertussis deaths in children,measure,"Pertussis deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=t4RbfeK6Dtt2srxw4REoXxQ,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
pneumonia_deaths_in_children_1_59_months_per_1000_births,Pneumonia deaths in children,measure,"Pneumonia deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tCe8N5KXAYCJteQokAqVM_A,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
other_infections_deaths_in_children_1_59_months_per_1000_birt,Other infections deaths in children,measure,"Other infections deaths in children 1-59 months (per 1,000 births)",http://spreadsheets.google.com/pub?key=tVAqgYwCDZfcq9jSCI87SAw,"1-59 months, per 1 000 births",,,,"['log', 'linear']"
all_causes_deaths_in_children_1_59_months_total_deaths,"All causes deaths in children, total",measure,All causes deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=taYeez4Mkk8OvdH-q4QAxxQ,1-59 months,,,,"['log', 'linear']"
diarrhoeal_deaths_in_children_1_59_months_total_deaths,"Diarrhoeal deaths in children, total",measure,Diarrhoeal deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tDzIq4iIDwNtYthN_QYZwZg,1-59 months,,,,"['log', 'linear']"
hiv_deaths_in_children_1_59_months_total_deaths,"HIV deaths in children, total",measure,HIV deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tQe6yinBBauXLvBFroZEL3Q,1-59 months,,,,"['log', 'linear']"
injury_deaths_in_children_1_59_months_total_deaths,"Injury deaths in children, total",measure,Injury deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tnRIpcH0InZUFz7f2ziXKog,1-59 months,,,,"['log', 'linear']"
malaria_deaths_in_children_1_59_months_total_deaths,"Malaria deaths in children, total",measure,Malaria deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=t1Vf-4rkGlG20pYzuGib3hw,1-59 months,,,,"['log', 'linear']"
measles_deaths_in_children_1_59_months_total_deaths,"Measles deaths in children, total",measure,Measles deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tYZAce4wGXEp5Jve3AI7yWQ,1-59 months,,,,"['log', 'linear']"
meningitis_deaths_in_children_1_59_months_total_deaths,"Meningitis deaths in children, total",measure,Meningitis deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tX-vHLzEZ7mqfk1vf6SbUXA,1-59 months,,,,"['log', 'linear']"
ncd_deaths_in_children_1_59_months_total_deaths,"NCD deaths in children, total",measure,NCD deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tfmFGk3PIvTgimegQiHOtSQ,1-59 months,,,,"['log', 'linear']"
pertussis_deaths_in_children_1_59_months_total_deaths,"Pertussis deaths in children, total",measure,Pertussis deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tdOlzqGxVdDnnCpfWyyGX1A,1-59 months,,,,"['log', 'linear']"
pneumonia_deaths_in_children_1_59_months_total_deaths,"Pneumonia deaths in children, total",measure,Pneumonia deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tcYkTk6KMHsrXzcM9WyUxbw,1-59 months,,,,"['log', 'linear']"
other_infections_deaths_in_children_1_59_months_total_deaths,"Other infections deaths in children, total",measure,Other infections deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tiehFos6jB-lekEAH028deA,1-59 months,,,,"['log', 'linear']"
breast_cancer_new_cases_per_100000_women,"Breast, new cases",measure,"Number of new cases of breast cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0Zbn8wVYsEHQ,per 100 000 women,,,,"['linear', 'log']"
cervical_cancer_new_cases_per_100000_women,"Cervical, new cases",measure,"Number of new cases of cervical cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3XpKHFksEPcA,per 100 000 women,,,,"['linear', 'log']"
colonandrectum_cancer_new_cases_per_100000_women,"Colon&Rectum, new cases",measure,"Number of new cases of colon&rectum cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2P7lqZXLeZAw,per 100 000 women,,,,"['linear', 'log']"
liver_cancer_new_cases_per_100000_women,"Liver, new cases",measure,"Number of new cases of liver cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2xhaKENmyRKw,per 100 000 women,,,,"['linear', 'log']"
lung_cancer_new_cases_per_100000_women,"Lung, new cases",measure,"Number of new cases of lung cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0UaQ2DNjK9Lg,per 100 000 women,,,,"['linear', 'log']"
stomach_cancer_new_cases_per_100000_women,"Stomach, new cases",measure,"Number of new cases of stomach cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0je8zzeM4WXQ,per 100 000 women,,,,"['linear', 'log']"
breast_cancer_number_of_new_female_cases,"Breast, new cases, total",measure,Total number of new female cases of breast cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2fGuJ1VdTpOw,,,,,"['linear', 'log']"
cervical_cancer_number_of_new_female_cases,"Cervical , new cases, total",measure,Total number of new female cases of cervical cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0g-SgNTI23GQ,,,,,"['linear', 'log']"
colonandrectum_cancer_number_of_new_female_cases,"Colon&Rectum, new cases, total",measure,Total number of new female cases of colon&rectum cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2L5YHqVxRTLA,,,,,"['linear', 'log']"
liver_cancer_number_of_new_female_cases,"Liver, new cases, total",measure,Total number of new female cases of liver cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1_IYQtrqQCKQ,,,,,"['linear', 'log']"
lung_cancer_number_of_new_female_cases,"Lung, new cases, total",measure,Total number of new female cases of lung cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2oQAW8_53cVQ,,,,,"['linear', 'log']"
stomach_cancer_number_of_new_female_cases,"Stomach, new cases, total",measure,Total number of new female cases of stomach cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1aXfw3aV83TA,,,,,"['linear', 'log']"
breast_cancer_deaths_per_100000_women,"Breast, deaths",measure,"Number of deaths due to breast cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3wJUwXXDdiGg,per 100 000 women,,,,"['linear', 'log']"
cervical_cancer_deaths_per_100000_women,"Cervical, deaths",measure,"Number of deaths due to cervical cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0jPl21g3mqfQ,per 100 000 women,,,,"['linear', 'log']"
colonandrectum_cancer_deaths_per_100000_women,"Colon&Rectum, deaths",measure,"Number of deaths due to colon&rectum cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3bdzmKAvdUSw,per 100 000 women,,,,"['linear', 'log']"
liver_cancer_deaths_per_100000_women,"Liver, deaths",measure,"Number of deaths due to liver cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2ItBsVpK9VBA,per 100 000 women,,,,"['linear', 'log']"
lung_cancer_deaths_per_100000_women,"Lung, deaths",measure,"Number of deaths due to lung cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2hZorcv6aVLA,per 100 000 women,,,,"['linear', 'log']"
stomach_cancer_deaths_per_100000_women,"Stomach, deaths",measure,"Number of deaths due to stomach cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0RpUEQPgGcZQ,per 100 000 women,,,,"['linear', 'log']"
breast_cancer_number_of_female_deaths,"Breast, deaths total",measure,Total number of female deaths due to breast cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj07QB-Apx8RfQ,,,,,"['linear', 'log']"
cervical_cancer_number_of_female_deaths,"Cervical, deaths total",measure,Total number of female deaths due to cervical cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2KBU_veE9AQg,,,,,"['linear', 'log']"
colonandrectum_cancer_number_of_female_deaths,"Colon&Rectum, deaths total",measure,Total number of female deaths due to colon&rectum cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0ndPkFlozzXQ,,,,,"['linear', 'log']"
liver_cancer_number_of_female_deaths,"Liver, deaths total",measure,Total number of female deaths due to liver cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2LwNOwMSnJQA,,,,,"['linear', 'log']"
lung_cancer_number_of_female_deaths,"Lung, deaths total",measure,Total number of female deaths due to lung cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0RMyUI1QFfaA,,,,,"['linear', 'log']"
stomach_cancer_number_of_female_deaths,"Stomach, deaths total",measure,Total number of female deaths due to stomach cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1o1rJNFHpQZw,,,,,"['linear', 'log']"
colonandrectum_cancer_new_cases_per_100000_men,"Colon&Rectum, new cases",measure,"Number of new cases of colon&rectum cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2UBFFaFy3Ebg,per 100 000 men,,,,"['linear', 'log']"
liver_cancer_new_cases_per_100000_men,"Liver, new cases",measure,"Number of new cases of liver cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj1u0KpZbsopCA,per 100 000 men,,,,"['linear', 'log']"
lung_cancer_new_cases_per_100000_men,"Lung, new cases",measure,"Number of new cases of lung cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj1kCRbsnNcTVg,per 100 000 men,,,,"['linear', 'log']"
prostate_cancer_new_cases_per_100000_men,"Prostate, new cases",measure,"Number of new cases of prostate cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3qX39HWaQjEg,per 100 000 men,,,,"['linear', 'log']"
stomach_cancer_new_cases_per_100000_men,"Stomach, new cases",measure,"Number of new cases of stomach cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj1XKvT6zwrMPw,per 100 000 men,,,,"['linear', 'log']"
colonandrectum_cancer_number_of_new_male_cases,"Colon&Rectum, new cases, total",measure,Total number of new male cases of colon&rectum cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj3nBOvEwrkMTA,,,,,"['linear', 'log']"
liver_cancer_number_of_new_male_cases,"Liver, new cases, total",measure,Total number of new male cases of liver cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2LIYJXVW9EVw,,,,,"['linear', 'log']"
lung_cancer_number_of_new_male_cases,"Lung, new cases, total",measure,Total number of new male cases of lung cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0sd0z2MGpeeA,,,,,"['linear', 'log']"
prostate_cancer_number_of_new_male_cases,"Prostate, new cases, total",measure,Total number of new male cases of prostate cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2vXUZJKI0XHA,,,,,"['linear', 'log']"
stomach_cancer_number_of_new_male_cases,"Stomach, new cases, total",measure,Total number of new male cases of stomach cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj3XF3cD2lbecA,,,,,"['linear', 'log']"
colonandrectum_cancer_deaths_per_100000_men,"Colon&Rectum, deaths",measure,"Number of deaths due to colon&rectum cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0VhkB8-rRHQg,per 100 000 men,,,,"['linear', 'log']"
liver_cancer_deaths_per_100000_men,"Liver, deaths",measure,"Number of deaths due to liver cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3rojF8TmZtOw,per 100 000 men,,,,"['linear', 'log']"
lung_cancer_deaths_per_100000_men,"Lung, deaths",measure,"Number of deaths due to lung cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2_ibAjsuNgYA,per 100 000 men,,,,"['linear', 'log']"
prostate_cancer_deaths_per_100000_men,"Prostate, deaths",measure,"Number of deaths due to prostate cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2S9phBhTP3dw,per 100 000 men,,,,"['linear', 'log']"
stomach_cancer_deaths_per_100000_men,"Stomach, deaths",measure,"Number of deaths due to stomach cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3ky4_oAkatBw,per 100 000 men,,,,"['linear', 'log']"
colonandrectum_cancer_number_of_male_deaths,"Colon&Rectum, deaths, total",measure,Total number of male deaths due to colon&rectum cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0-sqkfnD4rGA,,,,,"['linear', 'log']"
liver_cancer_number_of_male_deaths,"Liver, deaths, total",measure,Total number of male deaths due to liver cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1RD88c3w1vNg,,,,,"['linear', 'log']"
lung_cancer_number_of_male_deaths,"Lung, deaths, total",measure,Total number of male deaths due to lung cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2Az43qu-dQJQ,,,,,"['linear', 'log']"
prostate_cancer_number_of_male_deaths,"Prostate, deaths, total",measure,Total number of male deaths due to prostate cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1ImYURLRHPRA,,,,,"['linear', 'log']"
stomach_cancer_number_of_male_deaths,"Stomach, deaths, total",measure,Total number of male deaths due to stomach cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2NmCvOcsjpag,,,,,"['linear', 'log']"
total_health_spending_percent_of_gdp,Total health spending,measure,The sum of public and private health expenditure as a percentage of GDP.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj3XYThRy0yJMA,% of GDP,,,,"['linear', 'log']"
government_share_of_total_health_spending_percent,Gov. share in health spending,measure,"Percentage of total health expenditure that has been paid by government entities, for example Ministry of Health and social security agencies.",http://spreadsheets.google.com/pub?key=pyj6tScZqmEcJI3KBJnrlDQ,%,,,,"['linear', 'log']"
private_share_of_total_health_spending_percent,Private share in health spending,measure,"Percentage of total health expenditure that has been paid by private entities, for example commercial insurance and out-of-pocket payments.",http://spreadsheets.google.com/pub?key=pyj6tScZqmEcXBFxQw8cFaw,%,,,,"['linear', 'log']"
out_of_pocket_share_of_total_health_spending_percent,Out-of-pocket share in health spending,measure,Proportion of total health expenditures that has been paid directly out-of-pocket by individuals. ,http://spreadsheets.google.com/pub?key=tXf6_OUYVmyEMZo0g4DQw6w,%,,,,"['linear', 'log']"
government_health_spending_of_total_gov_spending_percent,Gov. health spending,measure,Proportion of total government expenditure that has been expended in health. ,http://spreadsheets.google.com/pub?key=pyj6tScZqmEd7K-YgYOkGFQ,% of total gov. spending,,,,"['linear', 'log']"
total_health_spending_per_person_international_dollar,Total health spending per person (intl. $),measure,"The average health expenditure per person, expressed in international dollars using PPP (Purchasing Power Parity).",http://spreadsheets.google.com/pub?key=tR3MM-UTZ0B44BKxxWeAZaQ,,,,,"['log', 'linear']"
government_health_spending_per_person_international_dollar,Gov. health spending per person (intl. $),measure,"The average health expenditure per person that has been paid by government entities, expressed in international dollars using PPP (Purchasing Power Parity).",http://spreadsheets.google.com/pub?key=tZ3uHUdw0H__Siyj78GXsGg,,,,,"['log', 'linear']"
total_health_spending_per_person_us,Total health spending per person (US$),measure,"The average health expenditure per person, expressed in US dollars using the average exchange rate.",http://spreadsheets.google.com/pub?key=pyj6tScZqmEeL79qOoKtofQ,,,,,"['log', 'linear']"
government_health_spending_per_person_us,Gov. health spending per person (US$),measure,"The average health expenditure per person that has been paid by government entities during the given year, expressed in US dollars using the average exchange rate.",http://spreadsheets.google.com/pub?key=tBwBBkViOJoycBhLnWHqwSQ,,,,,"['log', 'linear']"
medical_doctors_per_1000_people,Medical Doctors,measure,"Medical Doctors (physicians) working in any medical field per 1,000 people. ",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2yo1IzJQmbZg,per 1 000 people,,,,"['linear', 'log']"
people_living_with_hiv_number_all_ages,People living with HIV,measure,"The total number of persons in all ages that are estimated to be infected by HIV, including those without symptoms, those sick from AIDS and those healthy due to treatment of the HIV infection ",http://spreadsheets.google.com/pub?key=pyj6tScZqmEe1GaiYJX2qGA,"total, all ages",,,,"['log', 'linear']"
adults_with_hiv_percent_age_15_49,Adults with HIV share,measure,"The estimated percentage of adults aged 15 to 49 years that are infected by HIV, including those without symptoms, those sick from AIDS and those healthy due to treatment of the HIV infection ",http://spreadsheets.google.com/pub?key=pyj6tScZqmEfbZyl0qjbiRQ,"%, age 15-49",,,,"['log', 'linear']"
newly_hiv_infected_number_all_ages,Total newly HIV infected,measure,The total number of persons in all ages that are estimated to be newly infected with HIV during the given year.,https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdFk2WGhwakxTQkt4NUtTdFJDSlFHQ3c,"total, all ages",,,,"['linear', 'log']"
newly_hiv_infected_percent_age_15_49,Adults newly HIV infected share,measure,The estimated percentage of adults aged 15 to 49 years that are newly infected with HIV during the given year.,https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdDREUkRSRDJtQmFNTE1TYmRYX1pFNEE,"%, age 15-49",,,,"['linear', 'log']"
annual_hiv_deaths_number_all_ages,Annual HIV deaths,measure,The total number of people that were estimated as died from HIV/AIDS during the given year.,https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHZJdFBhYVlvck43d1R6ZFYzUWpiLWc,"total, all ages",,,,"['linear', 'log']"
art_coverage_percent_cd4_l_350,ART coverage %,measure,"For people who have been diagnosed as CD4 count < 350 / mm3, how many (%) have access to ART treatment, estimation. ",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHMzRDA5Z1RjWkJIWkNfdWNBVFR6b1E,CD4 < 350,,,,"['linear', 'log']"
malaria_cases_per_100000_reported,Malaria cases per 100 000,measure,"Number of malaria cases in every 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=pp59adS3CHWcGnFB9pe14OA,reported,,,,"['linear', 'log']"
malaria_deaths_per_100000_reported,Malaria deaths per 100 000,measure,"Number of malaria deaths in every 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=pp59adS3CHWfGZUVJ2L-dCw,reported,,,,"['linear', 'log']"
malaria_number_of_cases_reported,Malaria number of cases,measure,Total number of malaria cases reported during the given year.,http://spreadsheets.google.com/pub?key=pp59adS3CHWczfPHQMiqxCg,reported,,,,"['linear', 'log']"
malaria_number_of_deaths_reported,Malaria number of deaths,measure,Total number of malaria deaths reported during the given year.,http://spreadsheets.google.com/pub?key=pp59adS3CHWfZGL9qouvTbQ,reported,,,,"['linear', 'log']"
births_attended_by_skilled_health_staff_percent_of_total,Births attended by skilled health staff,measure,"The percentage of deliveries attended by personnel (including doctors, nurses and midwives) trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period; to conduct deliveries on their own; and to care for newborns.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdF9OQ2dSSG5nNFhpS3RnRVZHUzZMb3c,%,,,,"['linear', 'log']"
contraceptive_use_percent_of_women_ages_15_49,Contraceptive use,measure,"Contraceptive prevalence rate is the percentage of women who are practicing, or whose sexual partners are practicing, any form of contraception. It is usually measured for married women ages 15-49 only.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFp2OENYMUVKWnY1dkJLRXAtYnI3UVE,% of women ages 15-49,,,,"['linear', 'log']"
maternal_mortality_ratio_per_100000_live_births,Maternal mortality ratio,measure,"The number of maternal deaths divided by the number of live births in a given year, multiplied by 100,000. Maternal death is defined as the death of a women while pregnant or within the 42 days after termination of that pregnancy, regardless of the length and site of the pregnancy, from a cause related to or aggravated by the pregnancy. ",http://spreadsheets.google.com/pub?key=pyj6tScZqmEcVezxiMlWaRw,per 100 000 live births,,,,"['log', 'linear']"
maternal_deaths_total_number,Maternal deaths,measure,"Total number of maternal deaths in a given year. Maternal death is defined as the death of a women while pregnant or within the 42 days after termination of that pregnancy, regardless of the length and site of the pregnancy, from a cause related to or aggravated by the pregnancy.",http://spreadsheets.google.com/pub?key=tOJs331rbt36sNBXE8g5AUg,total number,,,,"['linear', 'log']"
maternal_deaths_lifetime_risk_per_1000,"Maternal deaths, lifetime risk",measure,"The chance of dying during pregnancy or within the 42 days after termination of that pregnancy in a lifetime, regardless of the length and site of the pregnancy, from a cause related to or aggravated by the pregnancy, the counting unit is per 1,000.",http://spreadsheets.google.com/pub?key=t2ha4jg1M70Le8CH3wHcPIQ,per 1 000,,,,"['linear', 'log']"
stillbirths_per_1000_births,Stillbirths,measure,The number of stillbirths per 1000 births (live births plus stillbirths).,http://spreadsheets.google.com/pub?key=tgJHpDEY4S7hxJpELGJueWA,per 1 000 births,,,,"['log', 'linear']"
suicide_per_100000_people,Suicides,measure,"Mortality due to self-inflicted injury, per 100 000 standard population, age adjusted. This rate is calculated as if all countries had the same age composition of the population.",http://spreadsheets.google.com/pub?key=troMumuI0Y6Phpwnj6qXa_A,per 100 000 people,,,,"['linear', 'log']"
malnutrition_weight_for_age_percent_of_children_under_5,Malnutrition of children,measure,The percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the 2006 WHO international reference population. ,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdGhpWDY5QVlOdUxpVGhaMVlUOE9iX0E,"%, age 5-",,,,"['linear', 'log']"
sugar_per_person_g_per_day,Sugar per person,measure,The quantity of food consumption of sugar and sweeteners (grams per person and day). NOTE: data for 2004 are based on a rough extrapolation by Gapminder.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2sdmdhX9zuKg,grams/day,,,,"['linear', 'log']"
food_supply_kilocalories_per_person_and_day,Food supply,measure,"Calories measures the energy content of the food. The required intake varies, but it is normally in the range of 1500-3000 kilocalories per day. One banana contains approximatly 100 kilocalories.",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdGlYVVpXX20tbU13STZyVG0yNkRrZnc,kcal / person & day,,,,"['linear', 'log']"
alcohol_consumption_per_adult_15plus_litres,Alcohol consumption per adult,measure,"Recorded plus estimated alcohol consumption, average adult (15+) per capita consumption in litres",https://spreadsheets.google.com/pub?key=0AgogXXPMARyldGJqTDRfNHBWODJMRWlZaVhNclhNZXc,"litres, age 15+",,,,"['linear', 'log']"
