primary_school_completion_percent_of_girls,geo,time
105.0,hun,1986
99.9,hun,1987
93.59,hun,1988
87.99,hun,1989
86.47,hun,1990
96.21,hun,1997
98.14,hun,1998
95.31,hun,1999
96.44,hun,2000
98.45,hun,2001
99.87,hun,2002
96.65,hun,2003
95.83,hun,2004
94.07,hun,2005
98.78,hun,2006
95.01,hun,2007
96.12,hun,2008
97.18,hun,2009
93.48,isl,1998
90.0,isl,1999
94.23,isl,2000
105.7,isl,2001
103.4,isl,2002
108.5,isl,2003
98.0,isl,2004
98.17,isl,2005
101.7,isl,2006
96.96,isl,2007
95.61,isl,2008
98.68,isl,2009
96.89,isl,2010
27.56,ind,1971
29.41,ind,1974
49.3,ind,1987
50.58,ind,1988
62.56,ind,1995
60.5,ind,1999
63.33,ind,2000
65.02,ind,2001
68.25,ind,2002
76.25,ind,2003
80.97,ind,2004
82.84,ind,2005
83.85,ind,2006
92.46,ind,2007
95.1,ind,2008
93.91,idn,1995
92.7,idn,1996
91.23,idn,1997
93.14,idn,2001
95.0,idn,2002
96.05,idn,2003
97.57,idn,2004
97.02,idn,2005
95.94,idn,2006
101.1,idn,2007
100.6,idn,2008
104.9,idn,2009
37.27,irn,1971
72.28,irn,1987
74.78,irn,1988
76.66,irn,1989
80.91,irn,1990
84.52,irn,1991
88.26,irn,1992
94.09,irn,1993
93.26,irn,1994
97.62,irn,1995
95.95,irn,1997
90.72,irn,2000
94.41,irn,2001
94.21,irn,2002
88.93,irn,2003
105.6,irn,2004
111.4,irn,2005
98.11,irn,2006
95.37,irn,2007
99.13,irn,2008
104.3,irn,2009
106.3,irn,2010
105.6,irn,2011
20.57,irq,1971
20.85,irq,1972
22.79,irq,1973
23.32,irq,1974
27.32,irq,1975
28.57,irq,1976
37.19,irq,1977
41.62,irq,1978
53.15,irq,1980
48.48,irq,1983
58.33,irq,1985
56.85,irq,1986
53.14,irq,1987
57.78,irq,1988
53.36,irq,1989
54.01,irq,1993
50.87,irq,1999
50.08,irq,2000
54.37,irq,2001
68.22,irq,2003
67.17,irq,2004
55.4,irq,2007
103.0,irl,1992
104.2,irl,1993
102.6,irl,1994
101.8,irl,1995
95.49,irl,1998
96.68,irl,1999
95.0,irl,2000
92.36,irl,2001
94.58,irl,2002
97.32,irl,2003
99.43,irl,2004
95.78,irl,2005
103.8,irl,2010
104.4,isr,2002
104.6,isr,2003
108.7,isr,2004
104.2,isr,2005
103.3,isr,2006
105.0,isr,2007
100.9,isr,2008
104.6,isr,2009
102.3,isr,2010
97.82,ita,1971
99.83,ita,1972
99.49,ita,1973
100.3,ita,1974
107.7,ita,1975
105.6,ita,1976
105.0,ita,1977
101.7,ita,1978
100.6,ita,1979
102.2,ita,1980
98.91,ita,1981
99.57,ita,1982
98.28,ita,1983
98.44,ita,1984
100.2,ita,1985
100.0,ita,1986
98.01,ita,1987
98.06,ita,1988
98.73,ita,1989
99.6,ita,1990
97.27,ita,1991
98.8,ita,1992
103.1,ita,1994
99.09,ita,1995
100.2,ita,1996
96.89,ita,1997
100.9,ita,1999
102.0,ita,2000
104.2,ita,2001
102.1,ita,2002
101.7,ita,2003
99.72,ita,2004
97.76,ita,2005
98.39,ita,2006
101.0,ita,2007
105.4,ita,2008
103.2,ita,2009
103.8,ita,2010
82.79,jam,1976
85.01,jam,1977
92.16,jam,1979
88.36,jam,1980
91.16,jam,1981
92.81,jam,1984
93.79,jam,1987
96.8,jam,1988
99.72,jam,1989
99.94,jam,1990
97.67,jam,1991
92.78,jam,1993
90.38,jam,2000
85.08,jam,2001
90.75,jam,2002
89.29,jam,2004
85.36,jam,2007
74.28,jam,2009
72.96,jam,2010
105.1,jpn,1971
100.8,jpn,1972
98.61,jpn,1973
97.88,jpn,1974
97.97,jpn,1975
98.33,jpn,1976
103.0,jpn,1977
99.11,jpn,1978
90.66,jpn,1979
106.1,jpn,1980
104.2,jpn,1981
99.45,jpn,1982
98.7,jpn,1983
99.15,jpn,1984
99.47,jpn,1985
101.5,jpn,1986
102.7,jpn,1987
100.9,jpn,1988
101.0,jpn,1989
103.5,jpn,1990
103.4,jpn,1991
101.2,jpn,1992
98.84,jpn,1994
103.0,jpn,1998
102.3,jpn,2009
101.9,jpn,2010
59.84,jor,1972
66.2,jor,1973
77.94,jor,1974
89.38,jor,1975
94.54,jor,1976
95.72,jor,1977
99.75,jor,1978
98.53,jor,1979
100.1,jor,1980
97.65,jor,1981
97.48,jor,1982
94.83,jor,1983
98.59,jor,1984
99.53,jor,1985
89.77,jor,1987
90.67,jor,1988
91.97,jor,1989
95.46,jor,1990
97.78,jor,1991
97.78,jor,1992
97.48,jor,1993
99.45,jor,1994
95.67,jor,1996
92.5,jor,1999
94.99,jor,2000
92.89,jor,2002
97.58,jor,2003
99.52,jor,2004
105.3,jor,2005
103.8,jor,2006
104.3,jor,2007
101.4,jor,2008
90.56,jor,2010
105.4,kaz,1994
93.07,kaz,2000
94.82,kaz,2001
96.74,kaz,2002
97.97,kaz,2003
105.3,kaz,2004
106.7,kaz,2005
104.3,kaz,2006
102.0,kaz,2007
106.8,kaz,2008
107.8,kaz,2009
110.9,kaz,2010
116.2,kaz,2011
37.4,ken,1970
40.17,ken,1971
43.51,ken,1972
46.2,ken,1973
59.83,ken,1977
62.07,ken,1978
81.25,ken,1980
80.89,ken,1981
87.14,ken,2004
89.62,ken,2005
77.34,kir,1977
85.26,kir,1978
66.33,kir,1979
76.13,kir,1980
124.5,kir,1981
120.1,kir,1982
131.0,kir,1983
126.4,kir,1984
127.0,kir,1985
128.5,kir,1986
114.0,kir,1987
110.9,kir,1988
112.8,kir,1989
101.7,kir,1990
110.9,kir,1991
106.0,kir,1992
104.4,kir,1993
113.1,kir,1995
123.1,kir,1996
129.9,kir,1997
106.2,kir,1999
94.71,kir,2000
117.0,kir,2001
111.0,kir,2002
111.4,kir,2003
116.8,kir,2004
113.7,kir,2005
108.8,kir,2006
104.3,kir,2007
113.1,kir,2008
94.21,kor,1971
95.74,kor,1972
105.3,kor,1973
104.0,kor,1974
103.2,kor,1975
107.0,kor,1976
101.7,kor,1977
98.9,kor,1978
101.9,kor,1979
99.11,kor,1980
103.6,kor,1981
101.7,kor,1982
102.7,kor,1983
108.1,kor,1984
105.5,kor,1985
105.0,kor,1986
104.4,kor,1987
99.98,kor,1988
94.83,kor,1989
100.0,kor,1990
97.69,kor,1991
109.5,kor,1992
109.3,kor,1993
112.4,kor,1994
112.1,kor,1995
101.2,kor,1998
105.8,kor,1999
104.6,kor,2000
100.6,kor,2001
96.29,kor,2002
103.2,kor,2003
101.4,kor,2004
98.28,kor,2005
98.46,kor,2006
100.5,kor,2007
98.98,kor,2008
101.1,kor,2009
100.6,kor,2010
53.71,kwt,1971
49.1,kwt,1972
43.75,kwt,1973
42.33,kwt,1974
51.71,kwt,1975
74.86,kwt,1976
63.33,kwt,1977
69.09,kwt,1978
67.78,kwt,1979
77.49,kwt,1980
89.89,kwt,1981
89.37,kwt,1982
94.17,kwt,1983
95.65,kwt,1984
94.71,kwt,1985
93.42,kwt,1986
92.62,kwt,1987
54.57,kwt,1992
82.21,kwt,1994
84.02,kwt,1995
110.3,kwt,1996
109.7,kwt,1997
104.1,kwt,1999
104.7,kwt,2000
91.77,kwt,2001
96.41,kwt,2002
103.2,kwt,2003
105.6,kwt,2004
112.0,kwt,2005
106.5,kwt,2006
114.2,kwt,2007
93.41,kgz,1999
92.78,kgz,2000
92.26,kgz,2001
92.07,kgz,2002
90.2,kgz,2003
93.51,kgz,2004
98.38,kgz,2005
102.0,kgz,2006
96.05,kgz,2007
94.38,kgz,2008
97.52,kgz,2009
96.65,kgz,2010
95.41,kgz,2011
36.38,lao,1992
39.68,lao,1993
43.29,lao,1994
51.5,lao,1996
53.91,lao,1997
59.19,lao,1998
64.44,lao,1999
63.39,lao,2000
64.43,lao,2001
65.68,lao,2002
65.17,lao,2003
65.31,lao,2004
67.53,lao,2005
70.04,lao,2006
72.75,lao,2007
75.48,lao,2008
78.32,lao,2009
83.61,lao,2010
89.87,lao,2011
89.82,lva,1999
91.16,lva,2000
98.21,lva,2001
97.78,lva,2002
101.4,lva,2003
97.8,lva,2004
93.83,lva,2005
91.06,lva,2006
92.06,lva,2007
89.65,lva,2008
86.18,lva,2009
89.73,lva,2010
88.58,lbn,1998
104.3,lbn,1999
87.08,lbn,2006
87.71,lbn,2007
89.37,lbn,2008
87.13,lbn,2009
89.4,lbn,2010
89.19,lbn,2011
45.65,lso,1972
52.22,lso,1973
64.79,lso,1974
68.64,lso,1975
63.66,lso,1976
59.45,lso,1977
61.33,lso,1978
62.65,lso,1979
63.52,lso,1980
64.25,lso,1981
64.65,lso,1982
64.72,lso,1983
63.97,lso,1984
63.75,lso,1985
64.18,lso,1986
68.33,lso,1987
71.58,lso,1988
71.68,lso,1989
75.4,lso,1990
75.99,lso,1991
77.74,lso,1992
76.78,lso,1993
78.6,lso,1994
76.3,lso,1996
74.11,lso,1998
70.39,lso,1999
69.29,lso,2000
70.36,lso,2001
71.73,lso,2002
72.78,lso,2003
75.44,lso,2004
70.83,lso,2005
89.05,lso,2006
81.55,lso,2007
77.63,lso,2008
77.94,lso,2009
78.86,lso,2010
17.01,lbr,1978
63.13,lbr,2007
57.16,lbr,2008
55.64,lbr,2009
60.28,lbr,2011
21.35,lby,1971
45.27,lby,1972
48.94,lby,1973
65.14,lby,1974
90.46,lby,1975
87.3,lby,1976
98.89,lby,1977
98.81,lby,1978
93.44,lby,1979
87.37,lby,1980
91.08,lby,1981
94.34,lby,1983
97.54,lie,2003
103.9,lie,2004
109.1,lie,2006
102.7,lie,2007
101.4,lie,2008
96.83,lie,2009
106.6,lie,2010
92.94,ltu,1995
97.2,ltu,1996
96.98,ltu,1997
95.51,ltu,1999
96.63,ltu,2000
103.4,ltu,2001
104.2,ltu,2002
106.3,ltu,2003
98.73,ltu,2004
91.17,ltu,2005
93.36,ltu,2006
95.97,ltu,2007
91.86,ltu,2008
94.15,ltu,2009
99.54,ltu,2010
85.31,lux,1975
84.54,lux,1976
88.14,lux,1977
88.33,lux,1978
87.17,lux,1979
84.95,lux,1983
84.46,lux,2010
96.52,mac,1990
95.89,mac,1992
95.07,mac,1993
101.3,mac,1999
106.2,mac,2000
105.4,mac,2001
104.2,mac,2002
98.77,mac,2003
103.5,mac,2004
97.32,mac,2005
102.6,mac,2006
96.85,mac,2007
97.56,mac,2008
93.01,mac,2009
99.42,mac,2010
102.6,mac,2011
97.59,mkd,1995
98.95,mkd,1996
100.5,mkd,1997
102.2,mkd,1999
99.88,mkd,2000
97.66,mkd,2001
101.4,mkd,2002
95.68,mkd,2003
95.35,mkd,2004
96.59,mkd,2005
92.48,mkd,2006
92.86,mkd,2007
93.7,mkd,2008
93.02,mkd,2009
23.77,mdg,1971
26.04,mdg,1972
27.14,mdg,1973
29.76,mdg,1975
39.72,mdg,1988
36.72,mdg,1989
36.81,mdg,1990
36.63,mdg,1991
33.72,mdg,1992
35.79,mdg,1993
33.56,mdg,1994
31.77,mdg,1995
32.62,mdg,1996
31.45,mdg,1998
34.49,mdg,1999
37.28,mdg,2000
37.2,mdg,2001
37.17,mdg,2002
41.07,mdg,2003
47.34,mdg,2004
59.18,mdg,2005
58.03,mdg,2006
62.32,mdg,2007
69.1,mdg,2008
76.29,mdg,2009
73.23,mdg,2010
73.96,mdg,2011
13.17,mwi,1974
13.45,mwi,1975
14.4,mwi,1976
17.45,mwi,1977
19.75,mwi,1978
21.35,mwi,1979
22.35,mwi,1980
24.51,mwi,1981
21.68,mwi,1982
25.7,mwi,1983
25.15,mwi,1984
26.59,mwi,1985
26.51,mwi,1986
26.45,mwi,1987
21.17,mwi,1988
22.01,mwi,1989
24.37,mwi,1990
27.8,mwi,1991
32.34,mwi,1992
34.14,mwi,1993
37.56,mwi,1994
49.39,mwi,1995
58.46,mwi,1996
62.98,mwi,1999
61.84,mwi,2000
64.19,mwi,2001
65.43,mwi,2002
57.51,mwi,2004
57.74,mwi,2005
58.33,mwi,2006
59.84,mwi,2007
64.44,mwi,2008
67.29,mwi,2009
69.66,mwi,2010
72.45,mwi,2011
76.02,mys,1974
90.75,mys,1980
88.88,mys,1981
89.6,mys,1982
94.05,mys,1983
94.28,mys,1984
93.51,mys,1985
92.11,mys,1987
92.01,mys,1988
89.35,mys,1989
87.7,mys,1990
88.99,mys,1991
92.04,mys,1993
97.56,mys,1998
94.27,mys,1999
92.27,mys,2002
92.53,mys,2003
96.31,mys,2004
98.92,mys,2005
138.8,mdv,2005
130.3,mdv,2006
112.6,mdv,2008
114.4,mdv,2009
105.1,mdv,2010
8.633,mli,1979
7.352,mli,1981
7.396,mli,1984
6.94,mli,1985
6.66,mli,1987
6.417,mli,1988
22.75,mli,2000
24.79,mli,2001
26.93,mli,2002
29.66,mli,2003
31.4,mli,2004
32.88,mli,2005
37.41,mli,2006
40.18,mli,2007
43.55,mli,2008
45.68,mli,2009
48.65,mli,2010
49.53,mli,2011
111.0,mlt,1971
113.9,mlt,1972
111.2,mlt,1973
113.2,mlt,1974
100.4,mlt,1975
75.55,mlt,1976
106.3,mlt,1977
98.81,mlt,1978
109.0,mlt,1979
112.5,mlt,1980
128.5,mlt,1981
112.0,mlt,1982
107.9,mlt,1983
108.0,mlt,1984
103.4,mlt,1985
101.0,mlt,1986
104.5,mlt,1987
98.44,mlt,1988
96.9,mlt,1989
96.53,mlt,1990
96.12,mlt,1991
97.48,mlt,1992
102.7,mlt,1993
99.42,mlt,1994
92.25,mlt,1995
95.06,mlt,1996
89.27,mlt,1997
94.9,mlt,1998
97.38,mlt,1999
101.8,mlt,2000
99.51,mlt,2001
100.2,mlt,2002
98.9,mlt,2003
97.2,mlt,2004
94.06,mlt,2005
95.05,mlt,2007
96.27,mlt,2008
91.01,mlt,2009
97.01,mlt,2010
84.18,mhl,1999
118.2,mhl,2002
98.29,mhl,2003
104.4,mhl,2005
116.1,mhl,2006
119.1,mhl,2007
111.4,mhl,2008
108.7,mhl,2009
101.2,mhl,2011
5.72,mrt,1976
5.398,mrt,1977
6.206,mrt,1978
9.421,mrt,1979
16.23,mrt,1981
21.77,mrt,1985
24.38,mrt,1986
22.54,mrt,1987
28.53,mrt,1988
25.34,mrt,1989
21.33,mrt,1990
25.63,mrt,1991
25.06,mrt,1992
27.65,mrt,1993
27.18,mrt,1994
27.92,mrt,1995
29.66,mrt,1996
33.69,mrt,1997
40.22,mrt,1998
43.18,mrt,2001
41.78,mrt,2002
42.98,mrt,2005
44.24,mrt,2006
56.73,mrt,2007
71.89,mrt,2009
76.0,mrt,2010
95.35,mus,1983
91.2,mus,1984
98.03,mus,1985
125.9,mus,1986
93.96,mus,1987
94.18,mus,1988
63.88,mus,1989
110.7,mus,1990
117.1,mus,1991
119.2,mus,1992
113.2,mus,1993
106.6,mus,1994
97.64,mus,1995
91.21,mus,1996
86.49,mus,1997
89.83,mus,1998
92.81,mus,1999
94.84,mus,2000
97.66,mus,2001
95.75,mus,2002
98.33,mus,2003
97.01,mus,2004
96.31,mus,2005
93.76,mus,2006
95.6,mus,2007
93.8,mus,2008
91.85,mus,2009
96.34,mus,2010
95.58,mus,2011
65.38,mex,1975
67.2,mex,1976
73.06,mex,1977
91.25,mex,1993
92.98,mex,1994
96.16,mex,1995
97.58,mex,1996
97.49,mex,1997
97.97,mex,1999
98.86,mex,2000
99.29,mex,2001
99.97,mex,2002
99.03,mex,2003
100.2,mex,2004
100.5,mex,2005
101.3,mex,2006
104.1,mex,2007
104.7,mex,2008
104.1,mex,2009
105.5,mex,2010
94.84,mda,1995
97.54,mda,2001
96.4,mda,2002
95.17,mda,2003
96.51,mda,2004
99.41,mda,2005
97.65,mda,2006
92.87,mda,2007
90.48,mda,2008
91.47,mda,2009
92.65,mda,2010
90.17,mda,2011
77.03,mng,1995
82.17,mng,1996
80.9,mng,1997
90.53,mng,1998
87.77,mng,1999
88.07,mng,2000
92.98,mng,2001
100.0,mng,2002
101.9,mng,2003
97.18,mng,2004
97.15,mng,2005
109.5,mng,2006
109.3,mng,2007
108.6,mng,2010
115.7,mng,2011
116.3,mne,2011
20.19,mar,1973
20.89,mar,1974
21.74,mar,1975
27.04,mar,1977
30.16,mar,1978
33.17,mar,1979
34.93,mar,1980
36.61,mar,1981
37.94,mar,1982
38.13,mar,1983
38.35,mar,1984
45.04,mar,1985
44.29,mar,1986
44.64,mar,1987
40.76,mar,1988
35.41,mar,1989
42.08,mar,1990
39.08,mar,1991
38.1,mar,1992
38.51,mar,1993
38.77,mar,1994
40.12,mar,1995
41.25,mar,1996
42.96,mar,1997
45.58,mar,1998
48.04,mar,1999
50.78,mar,2000
53.48,mar,2001
56.43,mar,2002
62.79,mar,2003
71.62,mar,2004
76.9,mar,2005
80.27,mar,2006
79.8,mar,2007
78.34,mar,2008
77.91,mar,2009
81.9,mar,2010
86.65,mar,2011
4.905,moz,1973
22.28,moz,1982
18.05,moz,1983
22.12,moz,1984
23.36,moz,1985
34.61,moz,1986
25.43,moz,1987
19.0,moz,1988
19.44,moz,1989
20.85,moz,1990
21.23,moz,1991
20.1,moz,1992
20.01,moz,1993
19.95,moz,1994
20.32,moz,1995
11.06,moz,1999
12.57,moz,2000
14.42,moz,2001
17.32,moz,2002
23.79,moz,2004
34.23,moz,2005
34.2,moz,2006
39.04,moz,2007
51.65,moz,2008
50.36,moz,2009
55.44,moz,2010
51.58,moz,2011
31.75,mmr,1971
30.1,mmr,1972
37.13,mmr,1973
36.18,mmr,1974
72.33,mmr,1999
79.02,mmr,2000
80.41,mmr,2001
82.29,mmr,2002
85.53,mmr,2003
88.25,mmr,2004
99.72,mmr,2007
100.3,mmr,2008
101.3,mmr,2009
106.2,mmr,2010
81.38,nam,1992
76.4,nam,1994
101.8,nam,1998
99.85,nam,1999
97.43,nam,2000
97.99,nam,2001
98.37,nam,2002
97.75,nam,2003
90.33,nam,2004
89.39,nam,2005
86.51,nam,2006
86.06,nam,2007
83.41,nam,2008
88.15,nam,2009
84.97,nam,2010
41.63,npl,1992
54.56,npl,1999
56.93,npl,2000
58.83,npl,2001
63.14,npl,2002
99.56,nld,1971
97.79,nld,1972
98.41,nld,1973
97.5,nld,1974
97.2,nld,1975
97.49,nld,1976
95.97,nld,1977
95.08,nld,1978
94.04,nld,1979
94.73,nld,1980
99.54,nld,1981
100.6,nld,1982
98.9,nld,1983
96.69,nld,1984
91.8,nld,1985
98.61,nld,1999
97.68,nld,2000
98.18,nld,2001
100.2,nld,2002
100.6,nzl,1970
104.0,nzl,1971
105.9,nzl,1972
104.7,nzl,1973
101.1,nzl,1974
98.51,nzl,1975
98.16,nzl,1976
100.8,nzl,1977
102.1,nzl,1978
103.2,nzl,1979
26.59,nic,1970
30.42,nic,1971
31.09,nic,1972
34.26,nic,1973
38.5,nic,1977
37.88,nic,1978
33.66,nic,1979
38.7,nic,1980
35.1,nic,1982
34.18,nic,1983
33.21,nic,1984
36.43,nic,1985
44.21,nic,1986
54.54,nic,1987
55.89,nic,1988
53.88,nic,1993
58.77,nic,1994
53.79,nic,1995
70.22,nic,1999
70.18,nic,2000
71.26,nic,2001
77.37,nic,2002
75.61,nic,2003
75.31,nic,2004
77.81,nic,2005
78.44,nic,2006
79.79,nic,2007
79.67,nic,2008
84.01,nic,2010
3.469,ner,1971
4.352,ner,1972
4.459,ner,1973
4.624,ner,1974
4.888,ner,1975
5.348,ner,1976
6.137,ner,1977
7.29,ner,1978
9.578,ner,1979
10.79,ner,1980
11.0,ner,1981
11.6,ner,1982
12.57,ner,1983
13.81,ner,1984
14.02,ner,1985
15.5,ner,1986
16.21,ner,1987
10.91,ner,1989
11.26,ner,1990
13.2,ner,1991
13.78,ner,1992
13.26,ner,1993
10.32,ner,1995
14.55,ner,1996
14.2,ner,1997
15.05,ner,1999
14.93,ner,2000
15.44,ner,2001
16.98,ner,2002
16.89,ner,2003
21.17,ner,2004
23.28,ner,2005
25.87,ner,2006
31.58,ner,2007
31.86,ner,2008
34.07,ner,2009
35.54,ner,2010
39.63,ner,2011
70.18,nga,2003
71.77,nga,2004
75.07,nga,2005
80.51,nga,2006
71.96,nga,2007
64.5,nga,2008
66.27,nga,2009
69.69,nga,2010
103.7,nor,1971
97.94,nor,1973
97.87,nor,1974
100.1,nor,1975
101.2,nor,1976
101.2,nor,1977
101.7,nor,1978
100.7,nor,1979
99.08,nor,1980
99.95,nor,1981
100.9,nor,1982
100.8,nor,1984
100.1,nor,1985
96.47,nor,1986
98.8,nor,1987
96.49,nor,1988
95.04,nor,1989
95.53,nor,1990
100.1,nor,1991
101.2,nor,1992
99.54,nor,1993
97.77,nor,1998
97.1,nor,1999
98.78,nor,2000
101.9,nor,2001
102.6,nor,2002
103.9,nor,2003
102.8,nor,2004
99.6,nor,2005
98.61,nor,2006
97.52,nor,2007
98.35,nor,2008
100.3,nor,2009
99.0,nor,2010
0.7114,omn,1974
0.7689,omn,1975
2.791,omn,1976
7.586,omn,1978
11.96,omn,1979
22.57,omn,1983
28.34,omn,1984
28.76,omn,1985
34.5,omn,1986
37.53,omn,1987
44.86,omn,1988
52.29,omn,1989
59.6,omn,1990
66.94,omn,1992
68.19,omn,1994
70.9,omn,1995
74.13,omn,1996
77.53,omn,1997
78.94,omn,1998
80.51,omn,1999
78.19,omn,2000
81.49,omn,2001
85.05,omn,2002
88.83,omn,2003
99.66,omn,2009
102.4,omn,2010
107.7,omn,2011
50.56,pak,2005
51.43,pak,2006
53.5,pak,2007
53.47,pak,2008
54.5,pak,2009
59.26,pak,2010
59.03,pak,2011
90.36,plw,2000
66.31,pan,1970
70.2,pan,1971
74.92,pan,1972
80.93,pan,1973
82.87,pan,1974
85.47,pan,1975
100.7,pan,1976
94.95,pan,1977
92.72,pan,1978
90.82,pan,1979
87.42,pan,1980
84.55,pan,1981
84.36,pan,1982
85.19,pan,1983
80.36,pan,1984
83.31,pan,1985
84.19,pan,1986
85.37,pan,1987
84.4,pan,1988
86.51,pan,1989
91.21,pan,1999
93.36,pan,2000
94.72,pan,2001
95.89,pan,2002
97.22,pan,2004
96.4,pan,2005
93.79,pan,2006
98.46,pan,2007
101.4,pan,2008
100.9,pan,2009
97.08,pan,2010
101.3,pan,2011
38.6,png,1987
41.09,png,1988
42.05,png,1989
40.59,png,1990
39.38,png,1991
39.39,png,1992
45.02,png,1994
45.68,png,1995
46.42,png,1998
50.51,png,2000
42.13,pry,1970
44.62,pry,1972
46.3,pry,1973
47.59,pry,1974
48.35,pry,1975
49.52,pry,1976
50.75,pry,1977
51.5,pry,1978
53.57,pry,1980
56.72,pry,1981
58.49,pry,1982
61.24,pry,1983
63.13,pry,1984
64.91,pry,1985
63.92,pry,1986
64.28,pry,1987
63.75,pry,1988
64.08,pry,1989
65.26,pry,1990
69.35,pry,1991
72.89,pry,1992
76.65,pry,1993
75.81,pry,1994
77.98,pry,1995
82.12,pry,1996
93.39,pry,1998
90.73,pry,1999
92.73,pry,2000
93.32,pry,2001
94.16,pry,2002
96.5,pry,2003
95.42,pry,2004
95.95,pry,2005
94.69,pry,2006
95.54,pry,2007
95.14,pry,2008
94.77,pry,2009
91.35,pry,2010
64.64,per,1970
76.66,per,1977
75.98,per,1978
76.36,per,1979
76.95,per,1980
74.99,per,1981
89.78,per,1995
97.59,per,1998
103.0,per,1999
101.3,per,2000
96.66,per,2001
96.5,per,2002
101.4,per,2006
103.3,per,2007
102.0,per,2008
98.65,per,2009
100.1,per,2010
96.96,per,2011
88.79,phl,1981
93.72,phl,1983
94.45,phl,1984
93.01,phl,1985
90.79,phl,1986
88.35,phl,1987
86.35,phl,1988
87.42,phl,1989
88.29,phl,1998
89.86,phl,1999
106.5,phl,2001
99.19,phl,2002
99.59,phl,2003
98.02,phl,2004
98.32,phl,2005
95.76,phl,2006
94.68,phl,2007
95.27,phl,2008
94.23,phl,2009
94.57,pol,2009
95.03,pol,2010
58.07,prt,1972
61.24,prt,1973
68.23,prt,1974
72.8,prt,1975
68.08,prt,1976
50.85,qat,1971
62.56,qat,1972
68.54,qat,1973
67.62,qat,1974
74.33,qat,1975
75.15,qat,1976
73.9,qat,1977
91.91,qat,1978
93.29,qat,1979
91.79,qat,1980
86.19,qat,1981
90.85,qat,1982
87.51,qat,1984
89.34,qat,1985
88.5,qat,1986
76.14,qat,1987
80.1,qat,1988
78.66,qat,1989
76.29,qat,1990
74.24,qat,1991
70.55,qat,1992
68.6,qat,1993
68.94,qat,1994
67.99,qat,1995
58.67,qat,1996
97.57,qat,1998
98.1,qat,1999
93.59,qat,2003
87.52,qat,2005
87.12,qat,2006
97.82,qat,2007
100.1,qat,2008
100.2,qat,2009
95.64,qat,2011
91.98,rou,1990
83.32,rou,1993
94.06,rou,1999
95.12,rou,2000
94.67,rou,2001
91.44,rou,2002
96.75,rou,2003
102.3,rou,2004
105.8,rou,2005
100.3,rou,2006
116.0,rou,2007
90.38,rou,2008
91.31,rou,2009
92.59,rou,2010
93.84,rus,1994
91.84,rus,1995
16.92,rwa,1971
18.0,rwa,1972
20.62,rwa,1973
21.1,rwa,1974
23.35,rwa,1975
25.56,rwa,1977
33.83,rwa,1980
44.13,rwa,1981
43.24,rwa,1982
42.75,rwa,1983
43.89,rwa,1984
45.82,rwa,1985
42.72,rwa,1986
43.08,rwa,1987
43.65,rwa,1988
44.07,rwa,1989
43.57,rwa,1990
45.14,rwa,1991
48.07,rwa,1992
28.99,rwa,1999
21.01,rwa,2000
22.36,rwa,2001
28.58,rwa,2002
39.16,rwa,2003
39.45,rwa,2004
53.2,rwa,2008
71.44,rwa,2009
73.8,rwa,2010
103.9,kna,1992
103.8,kna,2000
104.8,kna,2001
107.0,kna,2002
90.09,kna,2003
113.2,kna,2004
109.6,kna,2005
94.74,kna,2007
85.56,kna,2008
95.47,kna,2009
88.66,kna,2010
98.32,kna,2011
113.4,lca,1983
107.8,lca,1984
120.3,lca,1990
109.7,lca,1991
112.0,lca,1993
99.78,lca,2001
105.6,lca,2002
101.2,lca,2003
99.6,lca,2004
95.64,lca,2005
104.9,lca,2006
101.0,lca,2007
97.98,lca,2008
92.96,lca,2009
87.15,lca,2010
93.16,lca,2011
96.1,vct,2002
99.73,vct,2003
114.0,vct,2004
115.5,vct,2005
104.8,vct,2008
91.67,vct,2010
88.44,wsm,1999
95.81,wsm,2000
96.28,wsm,2001
94.52,wsm,2002
99.1,wsm,2003
101.9,wsm,2004
108.8,wsm,2007
98.17,wsm,2009
102.6,wsm,2010
102.7,wsm,2011
92.99,smr,2009
107.3,smr,2010
57.89,stp,1977
106.8,stp,1984
71.3,stp,1988
49.45,stp,1999
66.53,stp,2002
61.59,stp,2003
74.93,stp,2004
76.38,stp,2005
73.22,stp,2007
76.83,stp,2008
86.17,stp,2009
89.15,stp,2010
117.0,stp,2011
31.36,sau,1979
90.53,sau,2005
92.23,sau,2007
94.23,sau,2008
94.65,sau,2009
92.15,sau,2010
19.97,sen,1971
20.15,sen,1972
23.74,sen,1978
24.64,sen,1979
23.02,sen,1980
23.76,sen,1981
23.74,sen,1982
25.14,sen,1983
26.32,sen,1984
25.45,sen,1985
27.9,sen,1986
32.03,sen,1988
32.61,sen,1989
33.41,sen,1990
32.04,sen,1992
31.69,sen,1994
33.77,sen,1996
34.47,sen,1997
37.09,sen,1998
34.01,sen,2000
38.34,sen,2001
41.86,sen,2002
42.58,sen,2003
45.27,sen,2004
50.09,sen,2005
48.7,sen,2006
50.55,sen,2007
58.87,sen,2008
60.51,sen,2009
60.58,sen,2010
64.58,sen,2011
100.7,srb,2007
104.8,srb,2008
95.88,srb,2009
96.6,srb,2010
98.78,srb,2011
84.32,syc,1970
95.74,syc,1971
105.5,syc,1972
104.4,syc,1974
104.3,syc,1975
105.0,syc,1976
104.1,syc,1977
109.0,syc,1978
99.39,syc,1980
