concept,name,concept_type,tooltip,indicator_url,drill_up,domain
ncd_deaths_in_children_1_59_months_total_deaths,NCD deaths in children 1-59 months (total deaths),measure,NCD deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tfmFGk3PIvTgimegQiHOtSQ,,
pertussis_deaths_in_children_1_59_months_total_deaths,Pertussis deaths in children 1-59 months (total deaths),measure,Pertussis deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tdOlzqGxVdDnnCpfWyyGX1A,,
pneumonia_deaths_in_children_1_59_months_total_deaths,Pneumonia deaths in children 1-59 months (total deaths),measure,Pneumonia deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tcYkTk6KMHsrXzcM9WyUxbw,,
other_infections_deaths_in_children_1_59_months_total_deaths,Other infections deaths in children 1-59 months (total deaths),measure,Other infections deaths in children 1-59 months (total deaths),http://spreadsheets.google.com/pub?key=tiehFos6jB-lekEAH028deA,,
breast_cancer_new_cases_per_100000_women,"Breast cancer, new cases per 100,000 women",measure,"Number of new cases of breast cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0Zbn8wVYsEHQ,,
cervical_cancer_new_cases_per_100000_women,"Cervical cancer, new cases per 100,000 women",measure,"Number of new cases of cervical cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3XpKHFksEPcA,,
colonandrectum_cancer_new_cases_per_100000_women,"Colon&Rectum cancer, new cases per 100,000 women",measure,"Number of new cases of colon&rectum cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2P7lqZXLeZAw,,
liver_cancer_new_cases_per_100000_women,"Liver cancer, new cases per 100,000 women",measure,"Number of new cases of liver cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2xhaKENmyRKw,,
lung_cancer_new_cases_per_100000_women,"Lung cancer, new cases per 100,000 women",measure,"Number of new cases of lung cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0UaQ2DNjK9Lg,,
stomach_cancer_new_cases_per_100000_women,"Stomach cancer, new cases per 100,000 women",measure,"Number of new cases of stomach cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0je8zzeM4WXQ,,
breast_cancer_number_of_new_female_cases,"Breast cancer, number of new female cases",measure,Total number of new female cases of breast cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2fGuJ1VdTpOw,,
cervical_cancer_number_of_new_female_cases,"Cervical cancer, number of new female cases",measure,Total number of new female cases of cervical cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0g-SgNTI23GQ,,
colonandrectum_cancer_number_of_new_female_cases,"Colon&Rectum cancer, number of new female cases",measure,Total number of new female cases of colon&rectum cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2L5YHqVxRTLA,,
liver_cancer_number_of_new_female_cases,"Liver cancer, number of new female cases",measure,Total number of new female cases of liver cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1_IYQtrqQCKQ,,
lung_cancer_number_of_new_female_cases,"Lung cancer, number of new female cases",measure,Total number of new female cases of lung cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2oQAW8_53cVQ,,
stomach_cancer_number_of_new_female_cases,"Stomach cancer, number of new female cases",measure,Total number of new female cases of stomach cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1aXfw3aV83TA,,
breast_cancer_deaths_per_100000_women,"Breast cancer, deaths per 100,000 women",measure,"Number of deaths due to breast cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3wJUwXXDdiGg,,
cervical_cancer_deaths_per_100000_women,"Cervical cancer, deaths per 100,000 women",measure,"Number of deaths due to cervical cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0jPl21g3mqfQ,,
colonandrectum_cancer_deaths_per_100000_women,"Colon&Rectum cancer, deaths per 100,000 women",measure,"Number of deaths due to colon&rectum cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3bdzmKAvdUSw,,
liver_cancer_deaths_per_100000_women,"Liver cancer, deaths per 100,000 women",measure,"Number of deaths due to liver cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2ItBsVpK9VBA,,
lung_cancer_deaths_per_100000_women,"Lung cancer, deaths per 100,000 women",measure,"Number of deaths due to lung cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2hZorcv6aVLA,,
stomach_cancer_deaths_per_100000_women,"Stomach cancer, deaths per 100,000 women",measure,"Number of deaths due to stomach cancer in 100,000 female residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0RpUEQPgGcZQ,,
breast_cancer_number_of_female_deaths,"Breast cancer, number of female deaths",measure,Total number of female deaths due to breast cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj07QB-Apx8RfQ,,
cervical_cancer_number_of_female_deaths,"Cervical cancer, number of female deaths",measure,Total number of female deaths due to cervical cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2KBU_veE9AQg,,
colonandrectum_cancer_number_of_female_deaths,"Colon&Rectum cancer, number of female deaths",measure,Total number of female deaths due to colon&rectum cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0ndPkFlozzXQ,,
liver_cancer_number_of_female_deaths,"Liver cancer, number of female deaths",measure,Total number of female deaths due to liver cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2LwNOwMSnJQA,,
lung_cancer_number_of_female_deaths,"Lung cancer, number of female deaths",measure,Total number of female deaths due to lung cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0RMyUI1QFfaA,,
stomach_cancer_number_of_female_deaths,"Stomach cancer, number of female deaths",measure,Total number of female deaths due to stomach cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1o1rJNFHpQZw,,
colonandrectum_cancer_new_cases_per_100000_men,"Colon&Rectum cancer, new cases per 100,000 men",measure,"Number of new cases of colon&rectum cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2UBFFaFy3Ebg,,
liver_cancer_new_cases_per_100000_men,"Liver cancer, new cases per 100,000 men",measure,"Number of new cases of liver cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj1u0KpZbsopCA,,
lung_cancer_new_cases_per_100000_men,"Lung cancer, new cases per 100,000 men",measure,"Number of new cases of lung cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj1kCRbsnNcTVg,,
prostate_cancer_new_cases_per_100000_men,"Prostate cancer, new cases per 100,000 men",measure,"Number of new cases of prostate cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3qX39HWaQjEg,,
stomach_cancer_new_cases_per_100000_men,"Stomach cancer, new cases per 100,000 men",measure,"Number of new cases of stomach cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj1XKvT6zwrMPw,,
colonandrectum_cancer_number_of_new_male_cases,"Colon&Rectum cancer, number of new male cases",measure,Total number of new male cases of colon&rectum cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj3nBOvEwrkMTA,,
liver_cancer_number_of_new_male_cases,"Liver cancer, number of new male cases",measure,Total number of new male cases of liver cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2LIYJXVW9EVw,,
lung_cancer_number_of_new_male_cases,"Lung cancer, number of new male cases",measure,Total number of new male cases of lung cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0sd0z2MGpeeA,,
prostate_cancer_number_of_new_male_cases,"Prostate cancer, number of new male cases",measure,Total number of new male cases of prostate cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2vXUZJKI0XHA,,
stomach_cancer_number_of_new_male_cases,"Stomach cancer, number of new male cases",measure,Total number of new male cases of stomach cancer during the certain year.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj3XF3cD2lbecA,,
colonandrectum_cancer_deaths_per_100000_men,"Colon&Rectum cancer, deaths per 100,000 men",measure,"Number of deaths due to colon&rectum cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj0VhkB8-rRHQg,,
liver_cancer_deaths_per_100000_men,"Liver cancer, deaths per 100,000 men",measure,"Number of deaths due to liver cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3rojF8TmZtOw,,
lung_cancer_deaths_per_100000_men,"Lung cancer, deaths per 100,000 men",measure,"Number of deaths due to lung cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2_ibAjsuNgYA,,
prostate_cancer_deaths_per_100000_men,"Prostate cancer, deaths per 100,000 men",measure,"Number of deaths due to prostate cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2S9phBhTP3dw,,
stomach_cancer_deaths_per_100000_men,"Stomach cancer, deaths per 100,000 men",measure,"Number of deaths due to stomach cancer in 100,000 male residents during the certain year. This rate is calculated as if each country has the same age composition as the world population.",http://spreadsheets.google.com/pub?key=phAwcNAVuyj3ky4_oAkatBw,,
colonandrectum_cancer_number_of_male_deaths,"Colon&Rectum cancer, number of male deaths",measure,Total number of male deaths due to colon&rectum cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj0-sqkfnD4rGA,,
liver_cancer_number_of_male_deaths,"Liver cancer, number of male deaths",measure,Total number of male deaths due to liver cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1RD88c3w1vNg,,
lung_cancer_number_of_male_deaths,"Lung cancer, number of male deaths",measure,Total number of male deaths due to lung cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2Az43qu-dQJQ,,
prostate_cancer_number_of_male_deaths,"Prostate cancer, number of male deaths",measure,Total number of male deaths due to prostate cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj1ImYURLRHPRA,,
stomach_cancer_number_of_male_deaths,"Stomach cancer, number of male deaths",measure,Total number of male deaths due to stomach cancer during the certain year. ,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2NmCvOcsjpag,,
total_health_spending_percent_of_gdp,Total health spending (% of GDP),measure,The sum of public and private health expenditure as a percentage of GDP.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj3XYThRy0yJMA,,
government_share_of_total_health_spending_percent,Government share of total health spending (%),measure,"Percentage of total health expenditure that has been paid by government entities, for example Ministry of Health and social security agencies.",http://spreadsheets.google.com/pub?key=pyj6tScZqmEcJI3KBJnrlDQ,,
private_share_of_total_health_spending_percent,Private share of total health spending (%),measure,"Percentage of total health expenditure that has been paid by private entities, for example commercial insurance and out-of-pocket payments.",http://spreadsheets.google.com/pub?key=pyj6tScZqmEcXBFxQw8cFaw,,
out_of_pocket_share_of_total_health_spending_percent,Out-of-pocket share of total health spending (%),measure,Proportion of total health expenditures that has been paid directly out-of-pocket by individuals. ,http://spreadsheets.google.com/pub?key=tXf6_OUYVmyEMZo0g4DQw6w,,
government_health_spending_of_total_gov_spending_percent,Government health spending of total gov. spending (%),measure,Proportion of total government expenditure that has been expended in health. ,http://spreadsheets.google.com/pub?key=pyj6tScZqmEd7K-YgYOkGFQ,,
total_health_spending_per_person_international_,Total health spending per person (international $),measure,"The average health expenditure per person, expressed in international dollars using PPP (Purchasing Power Parity).",http://spreadsheets.google.com/pub?key=tR3MM-UTZ0B44BKxxWeAZaQ,,
government_health_spending_per_person_international_,Government health spending per person (international $),measure,"The average health expenditure per person that has been paid by government entities, expressed in international dollars using PPP (Purchasing Power Parity).",http://spreadsheets.google.com/pub?key=tZ3uHUdw0H__Siyj78GXsGg,,
total_health_spending_per_person_us,Total health spending per person (US$),measure,"The average health expenditure per person, expressed in US dollars using the average exchange rate.",http://spreadsheets.google.com/pub?key=pyj6tScZqmEeL79qOoKtofQ,,
government_health_spending_per_person_us,Government health spending per person (US$),measure,"The average health expenditure per person that has been paid by government entities during the given year, expressed in US dollars using the average exchange rate.",http://spreadsheets.google.com/pub?key=tBwBBkViOJoycBhLnWHqwSQ,,
medical_doctors_per_1000_people,"Medical Doctors (per 1,000 people)",measure,"Medical Doctors (physicians) working in any medical field per 1,000 people. ",http://spreadsheets.google.com/pub?key=phAwcNAVuyj2yo1IzJQmbZg,,
people_living_with_hiv_number_all_ages,"People living with HIV (number, all ages)",measure,"The total number of persons in all ages that are estimated to be infected by HIV, including those without symptoms, those sick from AIDS and those healthy due to treatment of the HIV infection ",http://spreadsheets.google.com/pub?key=pyj6tScZqmEe1GaiYJX2qGA,,
adults_with_hiv_percent_age_15_49,"Adults with HIV (%, age 15-49)",measure,"The estimated percentage of adults aged 15 to 49 years that are infected by HIV, including those without symptoms, those sick from AIDS and those healthy due to treatment of the HIV infection ",http://spreadsheets.google.com/pub?key=pyj6tScZqmEfbZyl0qjbiRQ,,
newly_hiv_infected_number_all_ages,"Newly HIV infected (number, all ages)",measure,The total number of persons in all ages that are estimated to be newly infected with HIV during the given year.,https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdFk2WGhwakxTQkt4NUtTdFJDSlFHQ3c,,
newly_hiv_infected_percent_age_15_49,"Newly HIV infected (%, age 15-49)",measure,The estimated percentage of adults aged 15 to 49 years that are newly infected with HIV during the given year.,https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdDREUkRSRDJtQmFNTE1TYmRYX1pFNEE,,
annual_hiv_deaths_number_all_ages,"Annual HIV deaths (number, all ages)",measure,The total number of people that were estimated as died from HIV/AIDS during the given year.,https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHZJdFBhYVlvck43d1R6ZFYzUWpiLWc,,
art_coverage_percent_cd4_l_350,ART coverage % (CD4 < 350),measure,"For people who have been diagnosed as CD4 count < 350 / mm3, how many (%) have access to ART treatment, estimation. ",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHMzRDA5Z1RjWkJIWkNfdWNBVFR6b1E,,
malaria_cases_per_100000___reported,"Malaria cases per 100,000 - reported",measure,"Number of malaria cases in every 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=pp59adS3CHWcGnFB9pe14OA,,
malaria_deaths_per_100000___reported,"Malaria deaths per 100,000 - reported",measure,"Number of malaria deaths in every 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=pp59adS3CHWfGZUVJ2L-dCw,,
malaria_number_of_cases___reported,Malaria number of cases - reported,measure,Total number of malaria cases reported during the given year.,http://spreadsheets.google.com/pub?key=pp59adS3CHWczfPHQMiqxCg,,
malaria_number_of_deaths___reported,Malaria number of deaths - reported,measure,Total number of malaria deaths reported during the given year.,http://spreadsheets.google.com/pub?key=pp59adS3CHWfZGL9qouvTbQ,,
births_attended_by_skilled_health_staff_percent_of_total,Births attended by skilled health staff (% of total),measure,"The percentage of deliveries attended by personnel (including doctors, nurses and midwives) trained to give the necessary supervision, care, and advice to women during pregnancy, labor, and the postpartum period; to conduct deliveries on their own; and to care for newborns.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdF9OQ2dSSG5nNFhpS3RnRVZHUzZMb3c,,
contraceptive_use_percent_of_women_ages_15_49,Contraceptive use (% of women ages 15-49),measure,"Contraceptive prevalence rate is the percentage of women who are practicing, or whose sexual partners are practicing, any form of contraception. It is usually measured for married women ages 15-49 only.",https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdFp2OENYMUVKWnY1dkJLRXAtYnI3UVE,,
maternal_mortality_ratio_per_100000_live_births,"Maternal mortality ratio (per 100,000 live births)",measure,"The number of maternal deaths divided by the number of live births in a given year, multiplied by 100,000. Maternal death is defined as the death of a women while pregnant or within the 42 days after termination of that pregnancy, regardless of the length and site of the pregnancy, from a cause related to or aggravated by the pregnancy. ",http://spreadsheets.google.com/pub?key=pyj6tScZqmEcVezxiMlWaRw,,
maternal_deaths_total_number,"Maternal deaths, total number",measure,"Total number of maternal deaths in a given year. Maternal death is defined as the death of a women while pregnant or within the 42 days after termination of that pregnancy, regardless of the length and site of the pregnancy, from a cause related to or aggravated by the pregnancy.",http://spreadsheets.google.com/pub?key=tOJs331rbt36sNBXE8g5AUg,,
maternal_deaths_lifetime_risk_per_1000,"Maternal deaths, lifetime risk (per 1,000)",measure,"The chance of dying during pregnancy or within the 42 days after termination of that pregnancy in a lifetime, regardless of the length and site of the pregnancy, from a cause related to or aggravated by the pregnancy, the counting unit is per 1,000.",http://spreadsheets.google.com/pub?key=t2ha4jg1M70Le8CH3wHcPIQ,,
stillbirths_per_1000_births,"Stillbirths (per 1,000 births)",measure,The number of stillbirths per 1000 births (live births plus stillbirths).,http://spreadsheets.google.com/pub?key=tgJHpDEY4S7hxJpELGJueWA,,
suicide_per_100000_people,"Suicide (per 100,000 people)",measure,"Mortality due to self-inflicted injury, per 100 000 standard population, age adjusted. This rate is calculated as if all countries had the same age composition of the population.",http://spreadsheets.google.com/pub?key=troMumuI0Y6Phpwnj6qXa_A,,
malnutrition_weight_for_age_percent_of_children_under_5,"Malnutrition, weight for age (% of children under 5)",measure,The percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the 2006 WHO international reference population. ,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdGhpWDY5QVlOdUxpVGhaMVlUOE9iX0E,,
sugar_per_person_g_per_day,Sugar per person (g per day),measure,The quantity of food consumption of sugar and sweeteners (grams per person and day). NOTE: data for 2004 are based on a rough extrapolation by Gapminder.,http://spreadsheets.google.com/pub?key=phAwcNAVuyj2sdmdhX9zuKg,,
food_supply_kilocalories_per_person_and_day,Food supply (kilocalories / person & day),measure,"Calories measures the energy content of the food. The required intake varies, but it is normally in the range of 1500-3000 kilocalories per day. One banana contains approximatly 100 kilocalories.",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdGlYVVpXX20tbU13STZyVG0yNkRrZnc,,
alcohol_consumption_per_adult_15plus_litres,Alcohol consumption per adult 15+ (litres),measure,"Recorded plus estimated alcohol consumption, average adult (15+) per capita consumption in litres",https://spreadsheets.google.com/pub?key=0AgogXXPMARyldGJqTDRfNHBWODJMRWlZaVhNclhNZXc,,
smoking_adults_percent_of_population_over_age_15,Smoking adults (% of population over age 15),measure,"Percentage of both men and women (over age 15) that smoke. Note: only 2005 tobacco data is provided by WHOSIS. In order to compare with 2002 lung cancer data, 2005 tobacco data was copied into 2002, based on the assumption that people's habit of smoking won't significantly change during 3 years. ",http://spreadsheets.google.com/pub?key=tRccVp7QMaCXMv19CcxERaA,,
smoking_women_percent_of_women_over_age_15_,Smoking women (% of women over age 15) ,measure,"Percentage of women (over age 15) that smoke. Note: only 2005 tobacco data is provided by WHOSIS. In order to compare with 2002 lung cancer data, 2005 tobacco data was copied into 2002, based on the assumption that people's habit of smoking won't significantly change during 3 years. ",http://spreadsheets.google.com/pub?key=thortPEzDn2xc_5bU255mPA,,
smoking_men_percent_of_men_over_age_15_,Smoking men (% of men over age 15) ,measure,"Percentage of men (over age 15) that smoke. Note: only 2005 tobacco data is provided by WHOSIS. In order to compare with 2002 lung cancer data, 2005 tobacco data was copied into 2002, based on the assumption that people's habit of smoking won't significantly change during 3 years. ",http://spreadsheets.google.com/pub?key=t60tpjxpWq3Bm-nBOvSm3og,,
body_mass_index_bmi_men_kgperm2,"Body Mass Index (BMI), men, Kg/m2",measure,"The mean BMI (Body Mass Index) of the male population, counted in kilogram per square meter; this mean is calculated as if each country has the same age composition as the world population.",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdF9saE1pWUNYVkVsNU1FdW1Yem81Nmc,,
body_mass_index_bmi_women_kgperm2,"Body Mass Index (BMI), women, Kg/m2",measure,"The mean BMI (Body Mass Index) of the female population, counted in kilogram per square meter; this mean is calculated as if each country has the same age composition as the world population.",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdGt0elo2dzJMVVQ3WmFGSmdhc09LRlE,,
blood_pressure_sbp_men_mmhg,"Blood pressure (SBP), men, mmHg",measure,"The mean SBP (Systolic Blood Pressure) of the male population, counted in mm-Hg; this mean is calculated as if each country has the same age composition as the world population.",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHNwRm9DN1FnT3hXWWZVSncxMkZyS2c,,
blood_pressure_sbp_women_mmhg,"Blood pressure (SBP), women, mmHg",measure,"The mean SBP (Systolic Blood Pressure) of the female population, counted in mm-Hg; this mean is calculated as if each country has the same age composition as the world population.",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdHBzUVVSMDlTX1ZCUnNJQ3ZFdkFXVFE,,
cholesterol_fat_in_blood_men_mmolperl,"Cholesterol (fat) in blood, men, mmol/L",measure,"The mean TC (Total Cholesterol) of the male population, counted in mmol per L; this mean is calculated as if each country has the same age composition as the world population.",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdDU5SnRoQ0xlZWhwRUZ6RFNQV042enc,,
cholesterol_fat_in_blood_women_mmolperl,"Cholesterol (fat) in blood, women, mmol/L",measure,"The mean TC (Total Cholesterol) of the female population, counted in mmol per L; this mean is calculated as if each country has the same age composition as the world population.",https://spreadsheets.google.com/pub?key=0ArfEDsV3bBwCdGJHcHZkSUdBcU56aS1OT3lLeU4tRHc,,
infectious_tb_new_cases_per_100000___estimated,"Infectious TB, new cases per 100,000 - estimated",measure,"Estimated number of new TB cases (infectious) among 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=rVyfxaPK4dJ9B6ZdgG34F-g,,
infectious_tb_new_cases_per_100000___reported,"Infectious TB, new cases per 100,000 - reported",measure,"Reported number of new TB cases (infectious) among 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=r0pD5wznwEUJ0ipdxAWQjiA,,
infectious_tb_number_of_new_cases___estimated,"Infectious TB, number of new cases - estimated",measure,Estimated number of new TB cases (infectious) during the given year.,http://spreadsheets.google.com/pub?key=rOPfJcbTTIyS-vxDWbkfNLA,,
infectious_tb_number_of_new_cases___reported,"Infectious TB, number of new cases - reported",measure,Reported number of new TB cases (infectious) during the given year.,http://spreadsheets.google.com/pub?key=rcbx0R-TXbkqRCyvKzn08fg,,
infectious_tb_detection_rate_percent,"Infectious TB, detection rate (%)",measure,The proportion of estimated new smear-positive cases of TB detected (diagnosed and then notified to WHO) by health facilities in the country during the given year.,http://spreadsheets.google.com/pub?key=rDb6EYc4YUTBRfXlBvjHYlg,,
infectious_tb_detection_rate_percent___dots_only,"Infectious TB, detection rate (%) - DOTS only",measure,"The proportion of estimated new smear-positive cases of TB detected (diagnosed and then notified to WHO) during the given year by DOTS programme, which is national TB programmes in finding and diagnosing people with TB.",http://spreadsheets.google.com/pub?key=rjGHot8B6YSt3kPYEG8nANA,,
infectious_tb_treatment_dots_completed_percent,"Infectious TB, treatment (DOTS) completed (%)",measure,Percentage of all patients with infectious TB detected by DOTS programme that have finished the treatment during the given year.,http://spreadsheets.google.com/pub?key=rewICFMTvBuer8UoJIK0yUg,,
tb_programme_dots_population_coverage_percent,TB programme (DOTS) population coverage (%),measure,"Percentage of total population that has been covered by DOTS programme, which is national TB programmes in finding and diagnosing people with TB.",http://spreadsheets.google.com/pub?key=rKfjGaPxqirPDe8gnTVKuIw,,
all_forms_of_tb_new_cases_per_100000___estimated,"All forms of TB, new cases per 100,000 - estimated",measure,"Estimated number of new TB cases (all forms) among 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=rMsQHawTObBb6_U2ESjKXYw,,
all_forms_of_tb_existing_cases_per_100000___estimated,"All forms of TB, existing cases per 100,000 - estimated",measure,"Estimated number of existing TB cases (all forms) among 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=rZNoyaocUmUGuFyRgjJUpig,,
all_forms_of_tb_deaths_per_100000___estimated,"All forms of TB, deaths per 100,000 - estimated",measure,"Estimated number of deaths caused by TB (all forms) among 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=rWM9yEzjpGJvcJlUAIm35tA,,
all_forms_of_tb_new_cases_per_100000___reported,"All forms of TB, new cases per 100,000 - reported",measure,"Reported number of new and relapsed TB cases (all forms) among 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=rYICvtvVz28fVyQuG_ote2w,,
all_forms_of_tb_number_of_new_cases___estimated,"All forms of TB, number of new cases - estimated",measure,Estimated number of new TB cases (all forms) during the given year.,http://spreadsheets.google.com/pub?key=rhZayTbvH3ZLlSN64OuRYFg,,
all_forms_of_tb_number_of_existing_cases___estimated,"All forms of TB, number of existing cases - estimated",measure,Estimated number of existing TB cases (all forms) during the given year.,http://spreadsheets.google.com/pub?key=rOCGMcGcrZs-dfeTEC792ZQ,,
all_forms_of_tb_number_of_deaths___estimated,"All forms of TB, number of deaths - estimated",measure,Estimated number of deaths caused by TB (all forms) during the given year.,http://spreadsheets.google.com/pub?key=rrQ_y5fqQPlznp5mJGXWr-A,,
all_forms_of_tb_number_of_new_cases___reported,"All forms of TB, number of new cases - reported",measure,Reported number of new and relapsed TB cases (all forms) during the given year.,http://spreadsheets.google.com/pub?key=r5UikGjnZlemlelKY0NX9Pg,,
all_forms_of_tb_detection_rate_percent_,"All forms of TB, detection rate (%) ",measure,The proportion of estimated new cases of TB detected (diagnosed and then notified to WHO) by health facilities in the country during the given year.,http://spreadsheets.google.com/pub?key=ru195-zJ0rsx5axPIvm_bRA,,
all_forms_of_tb_detection_rate_percent___dots_only,"All forms of TB, detection rate (%) - DOTS only",measure,"The proportion of estimated new cases of TB detected (diagnosed and then notified to WHO) during the given year by DOTS programme, which is national TB programmes in finding and diagnosing people with TB.",http://spreadsheets.google.com/pub?key=rutVwqgB14uRV_f2dRbqhUA,,
tb_with_hivplus_new_cases_per_100000___estimated,"TB with HIV+, new cases per 100,000 - estimated",measure,"Estimated number of new TB cases (with HIV+) among 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=rRCxDI3hB9E9zvc8qSe11qg,,
tb_with_hivplus_existing_cases_per_100000___estimated,"TB with HIV+, existing cases per 100,000 - estimated",measure,"Estimated number of existing TB cases (with HIV+) among 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=rQV47xgPGa3qOPHoLiVon-w,,
tb_with_hivplus_deaths_per_100000___estimated,"TB with HIV+, deaths per 100,000 - estimated",measure,"Estimated number of deaths caused by TB (with HIV+) among 100,000 residents during the given year.",http://spreadsheets.google.com/pub?key=rUBCConMMLm9CxPXUGm325A,,
