country;indicator;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;;;;;;;;;;;
Timor-Leste;Migrant stock (male), % of population;1.52;1.47;1.42;1.36;1.33;1.25;1.17;1.08;1.07;1.12;1.10;;;;;;;;;;;
Togo;Migrant stock (male), % of population;6.35;6.95;6.66;5.97;5.39;4.62;4.11;3.80;3.36;3.06;2.75;;;;;;;;;;;
Tokelau;Migrant stock (male), % of population;5.73;7.14;10.71;12.89;15.53;19.65;18.55;18.76;17.26;20.66;20.23;;;;;;;;;;;
Tonga;Migrant stock (male), % of population;0.19;0.31;0.50;1.01;1.86;3.75;3.25;2.28;1.64;1.16;0.82;;;;;;;;;;;
Trinidad and Tobago;Migrant stock (male), % of population;9.71;7.72;6.11;5.90;5.53;4.53;3.90;3.42;3.04;2.71;2.42;;;;;;;;;;;
Tunisia;Migrant stock (male), % of population;3.89;1.55;0.97;0.63;0.56;0.51;0.46;0.42;0.38;0.35;0.33;;;;;;;;;;;
Turkey;Migrant stock (male), % of population;3.43;2.90;1.12;0.40;1.70;1.81;2.01;1.92;1.81;1.79;1.78;;;;;;;;;;;
Turks and Caicos Islands;Migrant stock (male), % of population;3.60;5.74;9.12;12.43;17.38;27.23;44.92;35.68;30.54;19.92;19.39;;;;;;;;;;;
Tuvalu;Migrant stock (male), % of population;7.28;6.30;5.73;5.27;4.90;4.43;4.24;3.40;2.71;2.19;1.77;;;;;;;;;;;
Uganda;Migrant stock (male), % of population;13.42;13.68;12.28;8.42;6.12;4.72;3.29;3.27;2.59;2.28;1.91;;;;;;;;;;;
United Arab Emirates;Migrant stock (male), % of population;4.08;26.37;38.57;67.48;77.52;78.55;72.90;75.24;75.33;74.39;75.69;;;;;;;;;;;
United Kingdom of Great Britain and Northern Ireland;Migrant stock (male), % of population;3.37;4.88;5.51;5.77;6.08;6.29;6.43;7.07;7.86;9.26;9.87;;;;;;;;;;;
United Republic of Tanzania;Migrant stock (male), % of population;5.32;4.61;4.06;4.10;3.17;2.62;2.31;3.85;2.66;2.05;1.46;;;;;;;;;;;
United States of America;Migrant stock (male), % of population;5.74;5.59;5.58;6.16;6.83;7.93;9.10;10.59;12.23;13.13;13.72;;;;;;;;;;;
United States Virgin Islands;Migrant stock (male), % of population;37.38;40.44;51.08;45.86;47.62;46.68;49.72;50.27;51.63;53.34;55.73;;;;;;;;;;;
Uruguay;Migrant stock (male), % of population;7.89;7.42;5.73;4.59;3.91;3.30;3.02;2.76;2.54;2.41;2.26;;;;;;;;;;;
Vanuatu;Migrant stock (male), % of population;5.24;4.77;4.23;3.80;3.17;2.22;1.54;1.04;0.73;0.50;0.35;;;;;;;;;;;
Venezuela (Bolivarian Republic of);Migrant stock (male), % of population;8.19;7.14;5.92;6.02;6.64;6.09;5.20;4.61;4.15;3.77;3.45;;;;;;;;;;;
Viet Nam;Migrant stock (male), % of population;0.01;0.01;0.01;0.01;0.08;0.05;0.05;0.07;0.09;0.08;0.10;;;;;;;;;;;
Wallis and Futuna Islands;Migrant stock (male), % of population;0.42;0.75;1.44;2.38;3.53;5.34;9.94;12.05;13.82;15.94;18.21;;;;;;;;;;;
Western Sahara;Migrant stock (male), % of population;2.61;2.15;1.83;1.96;1.45;1.34;1.26;1.20;1.11;0.97;0.90;;;;;;;;;;;
Yemen;Migrant stock (male), % of population;3.73;3.74;3.80;3.85;3.83;3.35;3.42;2.96;2.77;2.64;2.61;;;;;;;;;;;
Zambia;Migrant stock (male), % of population;12.64;9.79;7.78;6.42;5.10;4.34;3.66;3.06;3.50;2.49;1.78;;;;;;;;;;;
Zimbabwe;Migrant stock (male), % of population;15.71;14.21;11.96;9.81;8.09;7.26;7.50;4.65;4.20;4.02;3.78;;;;;;;;;;;
Afghanistan;Migrant stock (female), % of population;0.44;0.42;0.41;0.39;0.38;0.41;0.42;0.35;0.33;0.32;0.28;;;;;;;;;;;
Albania;Migrant stock (female), % of population;3.28;2.98;2.75;2.57;2.48;2.35;2.21;2.45;2.64;2.79;2.94;;;;;;;;;;;
Algeria;Migrant stock (female), % of population;4.02;1.70;1.12;0.89;0.89;1.19;0.99;0.96;0.75;0.67;0.62;;;;;;;;;;;
American Samoa;Migrant stock (female), % of population;11.07;16.66;25.34;35.05;40.97;42.33;44.08;42.85;42.53;41.96;41.24;;;;;;;;;;;
Andorra;Migrant stock (female), % of population;17.35;35.97;53.53;58.96;68.47;66.85;71.99;67.97;62.92;62.55;63.91;;;;;;;;;;;
Angola;Migrant stock (female), % of population;1.99;1.16;0.67;0.38;0.97;1.02;0.28;0.28;0.31;0.34;0.36;;;;;;;;;;;
Anguilla;Migrant stock (female), % of population;8.58;10.37;12.48;14.89;17.23;21.54;28.72;34.01;38.11;39.88;42.90;;;;;;;;;;;
Antigua and Barbuda;Migrant stock (female), % of population;8.45;8.87;9.29;9.94;12.25;15.24;19.42;20.73;20.86;22.74;25.17;;;;;;;;;;;
Argentina;Migrant stock (female), % of population;11.56;10.06;8.76;7.67;6.74;5.93;5.22;4.77;4.37;4.04;3.73;;;;;;;;;;;
Aruba;Migrant stock (female), % of population;19.17;17.05;15.75;14.70;13.88;17.49;24.95;27.95;34.74;35.14;33.96;;;;;;;;;;;
Australia;Migrant stock (female), % of population;14.79;16.39;18.13;18.65;18.96;19.31;20.58;21.13;21.02;21.50;22.38;;;;;;;;;;;
Austria;Migrant stock (female), % of population;12.14;10.92;9.72;10.10;9.98;9.97;10.63;12.71;12.54;14.00;15.40;;;;;;;;;;;
Bahamas;Migrant stock (female), % of population;8.66;11.58;16.43;13.30;11.05;10.44;10.12;9.67;9.38;9.25;9.17;;;;;;;;;;;
Bahrain;Migrant stock (female), % of population;10.33;11.97;11.14;13.45;17.74;21.20;23.87;25.49;26.75;28.66;30.15;;;;;;;;;;;
Bangladesh;Migrant stock (female), % of population;1.20;1.10;1.02;0.94;0.53;0.34;0.22;0.22;0.20;0.19;0.19;;;;;;;;;;;
Barbados;Migrant stock (female), % of population;4.59;5.32;6.18;7.12;8.14;8.66;9.22;10.07;11.19;12.06;12.92;;;;;;;;;;;
Belgium;Migrant stock (female), % of population;4.27;5.77;6.47;7.48;8.11;7.92;8.09;8.32;8.13;8.11;8.82;;;;;;;;;;;
Belize;Migrant stock (female), % of population;7.47;7.48;7.49;7.34;8.66;14.23;14.93;16.73;14.33;14.66;15.71;;;;;;;;;;;
Benin;Migrant stock (female), % of population;1.38;1.44;1.51;1.51;1.52;1.55;1.48;2.38;1.86;2.20;2.32;;;;;;;;;;;
Bermuda;Migrant stock (female), % of population;19.81;22.44;26.56;26.14;25.75;26.08;26.37;27.20;28.23;29.40;30.84;;;;;;;;;;;
Bhutan;Migrant stock (female), % of population;1.63;1.66;1.65;1.62;1.60;1.62;1.64;2.04;2.15;2.24;2.22;;;;;;;;;;;
Bolivia;Migrant stock (female), % of population;1.10;1.10;1.10;1.09;1.02;0.94;0.87;0.91;1.04;1.19;1.38;;;;;;;;;;;
Botswana;Migrant stock (female), % of population;1.15;1.22;1.26;1.30;1.30;1.41;1.59;2.01;2.73;3.84;5.38;;;;;;;;;;;
Brazil;Migrant stock (female), % of population;1.70;1.40;1.16;0.99;0.84;0.64;0.49;0.42;0.36;0.34;0.32;;;;;;;;;;;
British Virgin Islands;Migrant stock (female), % of population;8.05;15.37;28.22;31.11;35.25;40.68;45.89;43.21;40.94;38.20;36.16;;;;;;;;;;;
Brunei Darussalam;Migrant stock (female), % of population;21.80;21.35;20.63;20.90;22.85;24.27;25.88;27.04;28.75;31.19;34.16;;;;;;;;;;;
Bulgaria;Migrant stock (female), % of population;0.30;0.29;0.29;0.29;0.28;0.28;0.28;0.63;1.43;1.51;1.60;;;;;;;;;;;
Burkina Faso;Migrant stock (female), % of population;1.43;1.55;1.67;1.80;2.57;3.65;4.01;4.67;4.99;5.73;6.51;;;;;;;;;;;
Burundi;Migrant stock (female), % of population;3.80;5.18;3.76;3.53;5.15;6.84;5.83;4.84;1.22;1.16;0.76;;;;;;;;;;;
Cambodia;Migrant stock (female), % of population;6.77;5.91;4.83;0.20;0.06;0.15;0.38;1.00;1.83;2.19;2.26;;;;;;;;;;;
Cameroon;Migrant stock (female), % of population;2.83;2.72;2.59;2.44;2.27;2.11;1.95;1.58;1.30;1.08;0.90;;;;;;;;;;;
Canada;Migrant stock (female), % of population;15.06;15.04;14.83;15.17;15.63;15.28;16.40;17.55;18.56;20.09;21.97;;;;;;;;;;;
Cape Verde;Migrant stock (female), % of population;3.17;2.89;2.63;2.62;2.60;2.51;2.39;2.31;2.27;2.26;2.27;;;;;;;;;;;
Cayman Islands;Migrant stock (female), % of population;9.83;11.93;14.72;22.66;33.30;41.62;47.89;53.67;57.52;62.21;59.97;;;;;;;;;;;
Central African Republic;Migrant stock (female), % of population;2.80;2.72;2.61;2.51;2.33;2.10;1.96;1.83;1.73;1.69;1.64;;;;;;;;;;;
Chad;Migrant stock (female), % of population;1.61;1.55;1.48;1.39;1.32;1.23;1.11;1.00;1.14;3.41;3.22;;;;;;;;;;;
Channel Islands;Migrant stock (female), % of population;30.77;34.65;38.90;39.98;41.36;29.45;29.05;40.88;44.16;47.77;51.77;;;;;;;;;;;
Chile;Migrant stock (female), % of population;1.18;1.01;0.87;0.78;0.71;0.73;0.79;0.93;1.16;1.47;1.98;;;;;;;;;;;
China;Migrant stock (female), % of population;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.04;0.04;0.05;0.05;;;;;;;;;;;
Colombia;Migrant stock (female), % of population;0.32;0.37;0.35;0.34;0.33;0.31;0.31;0.29;0.26;0.24;0.22;;;;;;;;;;;
Comoros;Migrant stock (female), % of population;0.72;0.97;1.51;2.70;4.61;3.88;3.37;2.97;2.65;2.36;2.09;;;;;;;;;;;
Congo;Migrant stock (female), % of population;2.65;3.02;3.41;3.81;4.23;4.72;5.31;4.68;3.43;3.73;3.76;;;;;;;;;;;
Cook Islands;Migrant stock (female), % of population;3.83;4.20;4.82;6.73;10.97;12.54;13.43;13.55;14.50;13.33;12.76;;;;;;;;;;;
Costa Rica;Migrant stock (female), % of population;2.20;1.87;1.31;1.36;2.87;4.32;13.59;6.60;7.98;10.35;10.70;;;;;;;;;;;
Cuba;Migrant stock (female), % of population;1.26;1.05;0.90;0.59;0.40;0.28;0.19;0.13;0.09;0.08;0.08;;;;;;;;;;;
Cyprus;Migrant stock (female), % of population;5.11;5.55;5.67;6.18;6.63;6.69;6.84;8.22;11.35;15.46;19.54;;;;;;;;;;;
Czechoslovakia (former);Migrant stock (female), % of population;0.51;0.52;0.54;0.55;0.56;0.91;3.24;3.88;3.90;3.92;3.89;;;;;;;;;;;
C™te d'Ivoire;Migrant stock (female), % of population;18.52;18.96;19.19;17.81;15.86;14.37;13.27;12.23;12.48;11.37;10.24;;;;;;;;;;;
Democratic People's Republic of Korea;Migrant stock (female), % of population;0.20;0.20;0.19;0.18;0.17;0.16;0.16;0.16;0.16;0.16;0.16;;;;;;;;;;;
Democratic Republic of the Congo;Migrant stock (female), % of population;6.23;7.37;6.97;5.22;4.45;2.34;2.08;4.39;1.25;0.85;0.69;;;;;;;;;;;
Denmark;Migrant stock (female), % of population;2.62;2.58;2.80;3.08;3.42;3.97;4.63;5.75;7.08;7.98;8.92;;;;;;;;;;;
Djibouti;Migrant stock (female), % of population;11.50;11.42;11.42;11.46;21.35;15.29;20.64;15.93;14.20;12.73;11.92;;;;;;;;;;;
Dominica;Migrant stock (female), % of population;3.89;3.52;3.10;2.75;2.38;2.79;3.50;4.22;5.13;6.21;7.55;;;;;;;;;;;
Dominican Republic;Migrant stock (female), % of population;2.28;2.59;2.97;2.93;2.93;2.96;3.00;3.07;3.18;3.33;3.50;;;;;;;;;;;
Ecuador;Migrant stock (female), % of population;0.49;0.59;0.71;0.83;0.87;0.85;0.79;0.79;0.82;0.93;2.77;;;;;;;;;;;
Egypt;Migrant stock (female), % of population;0.73;0.63;0.55;0.47;0.40;0.34;0.29;0.26;0.23;0.30;0.27;;;;;;;;;;;
El Salvador;Migrant stock (female), % of population;1.79;1.35;0.91;0.74;0.65;0.58;0.92;0.51;0.54;0.59;0.65;;;;;;;;;;;
Equatorial Guinea;Migrant stock (female), % of population;4.54;3.30;2.37;2.24;1.87;1.03;0.66;0.73;0.79;0.89;1.00;;;;;;;;;;;
Eritrea;Migrant stock (female), % of population;0.45;0.43;0.42;0.40;0.37;0.35;0.35;0.35;0.33;0.30;0.29;;;;;;;;;;;
Ethiopia;Migrant stock (female), % of population;1.45;1.26;1.17;1.05;1.03;1.30;2.25;1.31;0.95;0.69;0.60;;;;;;;;;;;
Faeroe Islands;Migrant stock (female), % of population;3.99;4.37;4.73;5.19;5.59;6.13;5.59;3.68;4.47;5.67;5.90;;;;;;;;;;;
Falkland Islands (Malvinas);Migrant stock (female), % of population;11.05;8.52;5.06;5.75;11.88;23.92;34.87;38.28;42.94;43.98;45.18;;;;;;;;;;;
Federal Republic of Germany (former);Migrant stock (female), % of population;1.74;2.25;2.97;4.94;5.93;6.34;;;;;;;;;;;;;;;;
Fiji;Migrant stock (female), % of population;3.95;3.17;2.74;2.42;2.12;1.81;1.86;1.89;1.94;2.02;2.10;;;;;;;;;;;
Finland;Migrant stock (female), % of population;0.79;0.76;0.75;0.79;0.84;1.00;1.23;1.96;2.54;3.24;4.18;;;;;;;;;;;
France;Migrant stock (female), % of population;6.64;8.08;9.22;9.53;10.09;10.12;9.92;10.18;10.47;10.53;10.65;;;;;;;;;;;
French Guiana;Migrant stock (female), % of population;21.43;24.18;25.55;25.13;29.88;38.28;46.24;47.74;49.28;49.28;46.39;;;;;;;;;;;
French Polynesia;Migrant stock (female), % of population;3.49;4.35;5.31;6.73;9.09;11.25;11.09;11.04;11.14;11.39;11.86;;;;;;;;;;;
Gabon;Migrant stock (female), % of population;3.59;4.84;6.40;8.75;11.75;11.77;11.71;12.88;14.55;15.29;16.25;;;;;;;;;;;
Gambia;Migrant stock (female), % of population;8.30;8.55;8.77;9.05;9.87;10.74;11.44;12.26;13.26;14.67;16.59;;;;;;;;;;;
German Democratic Republic (former);Migrant stock (female), % of population;2.01;1.25;0.76;0.74;0.71;0.69;;;;;;;;;;;;;;;;
Germany;Migrant stock (female), % of population;;;;;;;6.43;9.61;11.09;11.75;12.01;;;;;;;;;;;
Ghana;Migrant stock (female), % of population;5.74;4.19;3.24;3.27;3.41;3.51;4.29;5.25;6.53;6.45;6.45;;;;;;;;;;;
Gibraltar;Migrant stock (female), % of population;35.61;34.97;34.81;34.47;33.90;32.53;30.66;29.29;28.82;30.87;30.77;;;;;;;;;;;
Greece;Migrant stock (female), % of population;0.57;0.72;0.93;1.27;1.71;2.94;3.73;4.68;6.03;7.87;8.96;;;;;;;;;;;
Greenland;Migrant stock (female), % of population;6.02;8.39;11.56;11.65;11.57;11.63;10.32;9.49;8.75;7.99;7.11;;;;;;;;;;;
Grenada;Migrant stock (female), % of population;4.27;3.59;3.17;2.86;2.63;3.04;4.43;5.92;8.15;11.24;13.11;;;;;;;;;;;
Guadeloupe;Migrant stock (female), % of population;3.31;4.15;4.87;6.01;9.11;12.51;16.82;18.23;19.49;20.76;22.72;;;;;;;;;;;
Guam;Migrant stock (female), % of population;33.50;35.33;37.36;41.57;45.98;47.43;48.58;44.96;42.60;40.33;38.87;;;;;;;;;;;
Guatemala;Migrant stock (female), % of population;1.02;1.01;0.80;0.68;0.68;1.18;3.43;0.52;0.47;0.45;0.44;;;;;;;;;;;
Guinea;Migrant stock (female), % of population;0.35;0.38;0.43;0.50;0.53;0.58;4.01;11.48;8.98;4.64;4.10;;;;;;;;;;;
Guinea-Bissau;Migrant stock (female), % of population;1.93;1.97;2.00;1.78;1.52;1.36;1.34;2.69;1.46;1.29;1.16;;;;;;;;;;;
Guyana;Migrant stock (female), % of population;2.04;1.78;1.54;1.07;0.72;0.59;0.49;0.65;0.95;1.23;1.45;;;;;;;;;;;
Haiti;Migrant stock (female), % of population;0.37;0.29;0.23;0.22;0.23;0.23;0.24;0.24;0.26;0.27;0.29;;;;;;;;;;;
Holy See;Migrant stock (female), % of population;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;;;;;;;;;;;
Honduras;Migrant stock (female), % of population;2.74;1.52;0.75;0.46;0.89;1.93;5.44;0.54;0.45;0.37;0.31;;;;;;;;;;;
Hong Kong Special Administrative Region of China;Migrant stock (female), % of population;52.17;46.55;43.62;42.04;40.52;39.72;39.32;40.03;41.89;42.78;42.01;;;;;;;;;;;
Hungary;Migrant stock (female), % of population;5.32;4.84;4.41;4.00;3.64;3.39;3.55;3.01;3.09;3.53;3.96;;;;;;;;;;;
Iceland;Migrant stock (female), % of population;2.00;2.54;2.67;2.72;2.82;3.29;4.21;4.51;6.19;7.97;11.51;;;;;;;;;;;
India;Migrant stock (female), % of population;2.02;1.82;1.61;1.42;1.25;1.04;0.86;0.74;0.62;0.52;0.45;;;;;;;;;;;
Indonesia;Migrant stock (female), % of population;1.91;1.37;0.98;0.70;0.51;0.37;0.27;0.11;0.14;0.06;0.05;;;;;;;;;;;
Iran (Islamic Republic of);Migrant stock (female), % of population;0.23;0.22;0.29;0.44;1.30;5.31;6.67;4.12;3.47;2.36;2.24;;;;;;;;;;;
Iraq;Migrant stock (female), % of population;0.96;0.73;0.57;0.45;0.36;0.49;0.31;0.41;0.37;0.29;0.17;;;;;;;;;;;
Ireland;Migrant stock (female), % of population;2.68;3.40;4.57;5.52;6.68;6.52;6.59;7.33;10.10;14.71;19.44;;;;;;;;;;;
Isle of Man;Migrant stock (female), % of population;45.62;47.24;46.39;46.99;47.69;51.38;50.65;50.72;51.83;52.48;54.76;;;;;;;;;;;
Israel;Migrant stock (female), % of population;56.38;51.09;49.73;44.28;39.42;38.80;38.04;37.64;40.92;43.99;44.75;;;;;;;;;;;
Italy;Migrant stock (female), % of population;1.03;1.36;1.80;2.02;2.17;2.40;2.67;3.17;3.88;5.44;7.68;;;;;;;;;;;
Jamaica;Migrant stock (female), % of population;1.25;1.28;1.35;1.19;1.08;0.96;0.88;0.91;0.95;0.99;1.06;;;;;;;;;;;
Japan;Migrant stock (female), % of population;0.67;0.67;0.64;0.65;0.66;0.68;0.84;1.07;1.37;1.65;1.84;;;;;;;;;;;
Jordan;Migrant stock (female), % of population;43.99;41.49;32.86;34.71;36.69;35.55;35.92;38.30;40.34;42.60;46.33;;;;;;;;;;;
Kenya;Migrant stock (female), % of population;0.55;0.89;1.29;1.11;0.94;0.74;0.68;1.90;2.40;2.24;2.03;;;;;;;;;;;
Kiribati;Migrant stock (female), % of population;1.36;1.29;1.15;1.35;2.64;3.02;2.89;2.53;2.30;2.08;1.91;;;;;;;;;;;
Kuwait;Migrant stock (female), % of population;22.24;39.42;54.17;59.83;61.76;68.24;66.90;49.65;55.77;52.37;50.79;;;;;;;;;;;
Lao People's Democratic Republic;Migrant stock (female), % of population;0.89;0.81;0.74;0.67;0.80;0.61;0.53;0.47;0.39;0.33;0.28;;;;;;;;;;;
Lebanon;Migrant stock (female), % of population;7.94;7.88;7.68;7.46;8.35;11.52;16.77;18.11;17.65;17.01;17.16;;;;;;;;;;;
Lesotho;Migrant stock (female), % of population;0.35;0.37;0.39;0.41;0.77;1.09;0.46;0.31;0.28;0.27;0.26;;;;;;;;;;;
Liberia;Migrant stock (female), % of population;2.03;2.32;2.69;3.09;3.49;3.21;3.32;9.12;5.05;2.60;2.11;;;;;;;;;;;
Libyan Arab Jamahiriya;Migrant stock (female), % of population;3.60;3.48;5.14;6.84;7.73;8.15;7.87;7.80;7.75;7.69;7.66;;;;;;;;;;;
Liechtenstein;Migrant stock (female), % of population;25.87;29.38;33.12;32.86;32.86;33.75;33.99;36.70;32.78;32.83;32.90;;;;;;;;;;;
Luxembourg;Migrant stock (female), % of population;15.68;16.40;17.74;20.11;23.37;26.67;29.61;30.85;32.04;33.53;35.14;;;;;;;;;;;
Macao Special Administrative Region of China;Migrant stock (female), % of population;39.19;37.67;36.24;41.44;47.43;51.27;55.44;56.81;57.18;58.28;54.05;;;;;;;;;;;
Madagascar;Migrant stock (female), % of population;2.49;1.67;1.06;0.67;0.55;0.46;0.38;0.31;0.25;0.21;0.17;;;;;;;;;;;
Malawi;Migrant stock (female), % of population;8.32;7.33;6.40;5.45;4.60;3.93;12.39;3.27;2.42;2.09;1.81;;;;;;;;;;;
Malaysia;Migrant stock (female), % of population;0.60;1.90;6.12;5.40;5.41;5.34;5.08;5.25;6.09;7.24;7.75;;;;;;;;;;;
Maldives;Migrant stock (female), % of population;1.72;1.64;1.57;1.49;1.36;1.24;1.13;1.07;1.02;0.98;0.94;;;;;;;;;;;
Mali;Migrant stock (female), % of population;3.37;3.03;2.73;2.45;2.21;1.98;1.84;1.74;1.48;1.32;1.15;;;;;;;;;;;
Malta;Migrant stock (female), % of population;0.63;2.40;3.95;3.01;2.17;1.58;1.79;2.13;2.51;2.97;3.88;;;;;;;;;;;
Marshall Islands;Migrant stock (female), % of population;4.88;4.55;4.24;3.73;3.48;3.07;2.74;2.61;2.62;2.46;2.25;;;;;;;;;;;
Martinique;Migrant stock (female), % of population;2.52;3.16;3.78;4.39;6.64;8.64;10.56;12.36;14.32;16.45;18.03;;;;;;;;;;;
Mauritania;Migrant stock (female), % of population;1.15;1.29;1.45;1.63;1.84;2.09;3.97;4.37;2.04;1.89;2.53;;;;;;;;;;;
Mauritius;Migrant stock (female), % of population;1.22;1.16;1.11;1.02;0.93;0.88;0.84;1.85;4.09;4.10;4.15;;;;;;;;;;;
Mayotte;Migrant stock (female), % of population;4.86;5.82;6.59;7.69;9.13;11.44;14.00;21.06;26.94;32.60;36.03;;;;;;;;;;;
Mexico;Migrant stock (female), % of population;0.54;0.44;0.37;0.38;0.43;0.63;0.83;0.49;0.51;0.56;0.64;;;;;;;;;;;
Micronesia (Federated States of);Migrant stock (female), % of population;11.08;8.99;7.28;6.54;4.88;3.64;2.82;2.31;2.66;2.48;2.28;;;;;;;;;;;
Monaco;Migrant stock (female), % of population;71.83;70.30;68.39;67.54;69.53;68.98;69.87;69.23;68.66;69.52;70.41;;;;;;;;;;;
Mongolia;Migrant stock (female), % of population;0.36;0.36;0.35;0.33;0.31;0.31;0.30;0.33;0.36;0.38;0.40;;;;;;;;;;;
Montserrat;Migrant stock (female), % of population;8.52;10.20;12.09;12.34;12.66;15.20;18.28;16.94;3.40;1.80;1.66;;;;;;;;;;;
Morocco;Migrant stock (female), % of population;3.50;1.72;0.85;0.53;0.36;0.27;0.23;0.21;0.18;0.16;0.15;;;;;;;;;;;
Mozambique;Migrant stock (female), % of population;0.10;0.09;0.08;0.36;0.88;0.47;0.90;1.54;2.02;1.97;1.95;;;;;;;;;;;
Myanmar;Migrant stock (female), % of population;1.21;1.06;0.93;0.80;0.51;0.32;0.30;0.23;0.19;0.18;0.17;;;;;;;;;;;
Namibia;Migrant stock (female), % of population;3.29;3.82;4.40;4.99;5.81;6.70;7.21;6.69;6.31;6.10;5.89;;;;;;;;;;;
Nauru;Migrant stock (female), % of population;0.95;4.42;11.55;27.67;36.91;38.72;37.64;37.60;40.62;43.45;46.14;;;;;;;;;;;
Nepal;Migrant stock (female), % of population;4.66;4.26;3.79;3.03;2.36;2.66;3.28;4.11;4.11;4.13;4.29;;;;;;;;;;;
Netherlands;Migrant stock (female), % of population;4.56;2.60;1.49;1.95;2.91;4.78;7.88;8.96;10.02;10.85;10.88;;;;;;;;;;;
Netherlands Antilles;Migrant stock (female), % of population;18.74;16.92;15.26;14.32;13.10;16.39;21.30;24.34;26.95;26.32;28.00;;;;;;;;;;;
New Caledonia;Migrant stock (female), % of population;11.77;16.11;19.02;22.33;21.49;20.28;20.07;21.35;21.45;21.79;22.00;;;;;;;;;;;
New Zealand;Migrant stock (female), % of population;13.33;14.05;14.06;15.60;14.60;14.46;15.30;16.21;17.92;21.36;23.16;;;;;;;;;;;
Nicaragua;Migrant stock (female), % of population;0.65;0.69;0.83;0.78;0.77;1.12;0.97;0.57;0.59;0.62;0.66;;;;;;;;;;;
Niger;Migrant stock (female), % of population;1.64;1.67;1.70;1.73;1.76;1.78;1.79;1.93;1.60;1.50;1.37;;;;;;;;;;;
Nigeria;Migrant stock (female), % of population;0.15;0.18;0.21;0.87;1.44;0.34;0.40;0.47;0.55;0.64;0.68;;;;;;;;;;;
Niue;Migrant stock (female), % of population;4.05;4.74;6.27;9.10;12.34;17.15;19.01;19.37;20.41;21.90;23.44;;;;;;;;;;;
Northern Mariana Islands;Migrant stock (female), % of population;23.70;25.20;24.90;25.18;26.22;49.99;60.21;58.35;56.43;53.03;51.86;;;;;;;;;;;
Norway;Migrant stock (female), % of population;1.86;2.01;2.17;2.56;3.05;3.53;4.41;5.36;6.64;8.11;10.18;;;;;;;;;;;
Occupied Palestinian Territory;Migrant stock (female), % of population;45.50;46.00;53.43;49.54;47.11;44.19;42.35;45.61;44.53;44.09;43.68;;;;;;;;;;;
Oman;Migrant stock (female), % of population;3.24;3.39;3.49;3.49;5.46;8.43;10.86;13.67;12.86;12.23;13.52;;;;;;;;;;;
Pakistan;Migrant stock (female), % of population;13.25;10.62;8.32;6.42;5.87;6.04;5.31;2.94;2.66;1.98;2.11;;;;;;;;;;;
Palau;Migrant stock (female), % of population;2.31;2.49;2.74;3.02;3.51;7.31;15.03;24.37;28.95;26.07;24.42;;;;;;;;;;;
Panama;Migrant stock (female), % of population;5.29;4.69;4.16;3.06;2.30;2.36;2.44;2.66;2.91;3.21;3.57;;;;;;;;;;;
Papua New Guinea;Migrant stock (female), % of population;0.87;1.23;1.71;1.34;0.98;1.00;0.71;0.55;0.36;0.32;0.27;;;;;;;;;;;
Paraguay;Migrant stock (female), % of population;2.45;2.46;2.84;3.49;4.38;4.52;4.14;3.67;3.18;2.77;2.44;;;;;;;;;;;
Peru;Migrant stock (female), % of population;0.60;0.53;0.47;0.42;0.37;0.31;0.26;0.22;0.19;0.16;0.13;;;;;;;;;;;
Philippines;Migrant stock (female), % of population;0.72;0.64;0.57;0.35;0.24;0.24;0.24;0.29;0.41;0.44;0.48;;;;;;;;;;;
Pitcairn;Migrant stock (female), % of population;5.41;5.77;6.52;8.57;6.25;6.45;6.06;6.67;7.41;8.33;8.33;;;;;;;;;;;
Poland;Migrant stock (female), % of population;8.55;7.50;6.69;5.66;4.70;3.90;3.30;2.83;2.45;2.47;2.48;;;;;;;;;;;
Portugal;Migrant stock (female), % of population;0.49;0.76;1.24;1.85;2.75;3.48;4.40;5.23;6.10;7.10;8.35;;;;;;;;;;;
Puerto Rico;Migrant stock (female), % of population;2.67;4.22;6.90;7.71;8.52;8.89;9.26;9.34;9.54;9.13;8.20;;;;;;;;;;;
Qatar;Migrant stock (female), % of population;19.15;32.55;44.72;54.60;51.16;61.71;61.84;58.34;56.11;77.37;90.83;;;;;;;;;;;
Republic of Korea;Migrant stock (female), % of population;0.52;0.54;0.56;0.83;1.28;1.26;1.23;1.23;1.22;1.18;1.15;;;;;;;;;;;
RŽunion;Migrant stock (female), % of population;2.82;2.79;3.12;4.45;5.75;7.06;8.77;10.97;13.83;17.56;20.47;;;;;;;;;;;
Romania;Migrant stock (female), % of population;1.92;1.87;1.52;1.23;1.00;0.83;0.69;0.64;0.63;0.63;0.63;;;;;;;;;;;
Rwanda;Migrant stock (female), % of population;1.05;1.11;1.01;1.13;1.06;1.38;1.06;6.41;5.10;5.05;4.73;;;;;;;;;;;
Saint Kitts and Nevis;Migrant stock (female), % of population;6.25;5.82;5.69;5.71;5.81;6.62;7.55;7.88;8.14;8.42;8.84;;;;;;;;;;;
Saint Lucia;Migrant stock (female), % of population;2.62;2.69;2.73;2.87;2.97;3.41;3.84;4.28;4.73;5.28;5.88;;;;;;;;;;;
